date,action,price,shares,cost,cash_after,revenue
2018-02-06,BUY,452.09,200,90445.13,9554.87,
2018-05-15,SELL,486.29,200,,106783.7,97228.82
2018-06-29,BUY,485.69,200,97167.14,9616.56,
2018-09-27,SELL,478.23,200,,105233.86,95617.31
2018-10-30,BUY,278.23,300,83494.04,21739.82,
2018-12-04,SELL,356.46,300,,128645.74,106905.92
2019-05-10,BUY,661.35,100,66154.84,62490.9,
2019-06-21,SELL,730.53,100,,135521.98,73031.08
2019-12-02,BUY,901.77,100,90204.05,45317.93,
2020-03-05,SELL,939.77,100,,139266.74,93948.81
2020-03-19,BUY,764.77,100,76499.94,62766.79,
2020-06-02,SELL,1179.48,100,,180679.41,117912.62
2021-05-07,BUY,1688.79,100,168929.66,11749.75,
2021-05-26,SELL,2005.79,100,,212268.57,200518.83
2021-06-22,BUY,1860.76,100,186131.82,26136.75,
2021-09-28,SELL,1627.14,100,,188801.94,162665.19
2022-01-07,BUY,1747.08,100,174760.41,14041.52,
2022-06-08,SELL,1670.68,100,,181059.4,167017.88
2022-08-25,BUY,1711.76,100,171227.35,9832.05,
2022-12-02,SELL,1460.64,100,,155852.23,146020.18
2023-05-31,BUY,1477.57,100,147801.33,8050.9,
2023-06-16,SELL,1646.36,100,,172637.51,164586.61
2023-10-10,BUY,1644.58,100,164507.34,8130.18,
2024-02-07,SELL,1604.67,100,,168549.04,160418.86
2024-04-09,BUY,1555.9,100,155636.68,12912.36,
2024-05-07,SELL,1663.68,100,,179230.45,166318.09
2024-06-12,BUY,1465.36,100,146579.96,32650.49,
2024-09-27,SELL,1553.76,100,,187979.87,155329.39
