date,action,price,shares,cost,cash_after,revenue
2018-01-04,BUY,480.3,200,96088.82,3911.18,
2018-01-22,SELL,516.87,200,,107254.17,103342.99
2018-02-26,BUY,486.74,200,97377.2,9876.97,
2018-03-08,SELL,465.99,200,,103047.01,93170.04
2018-03-12,BUY,467.18,200,93464.03,9582.98,
2018-03-14,SELL,470.11,200,,103576.77,93993.79
2018-03-16,BUY,483.08,200,96644.98,6931.78,
2018-03-26,SELL,456.72,200,,98248.38,91316.6
2018-04-12,BUY,437.43,200,87512.25,10736.13,
2018-04-16,SELL,424.61,200,,95632.66,84896.52
2018-04-25,BUY,434.2,200,86866.05,8766.61,
2018-05-07,SELL,441.4,200,,97020.12,88253.52
2018-05-08,BUY,452.06,200,90439.12,6581.0,
2018-05-31,SELL,494.36,200,,105423.34,98842.34
2018-06-01,BUY,488.34,200,97697.3,7726.04,
2018-06-20,SELL,517.82,200,,111258.97,103532.93
2018-07-16,BUY,508.91,200,101812.53,9446.43,
2018-07-31,SELL,480.67,200,,105551.59,96105.16
2018-08-24,BUY,414.53,200,82930.87,22620.72,
2018-09-10,SELL,399.03,200,,102402.78,79782.06
2018-09-19,BUY,435.65,200,87156.14,15246.64,
2018-10-12,SELL,422.23,200,,99667.31,84420.67
2018-11-15,BUY,313.93,300,94207.25,5460.05,
2018-12-24,SELL,322.23,300,,102100.05,96640.0
2019-01-03,BUY,344.23,200,68866.65,33233.4,
2019-02-22,SELL,480.24,200,,129252.58,96019.19
2019-03-04,BUY,536.09,200,107250.17,22002.42,
2019-03-08,SELL,491.73,200,,120318.91,98316.5
2019-03-19,BUY,546.84,200,109400.81,10918.1,
2019-03-22,SELL,548.23,200,,120531.21,109613.11
2019-04-01,BUY,613.23,100,61341.4,59189.81,
2019-04-29,SELL,726.2,100,,131788.03,72598.21
2019-06-13,BUY,664.23,100,66442.93,65345.1,
2019-07-10,SELL,751.29,100,,140451.56,75106.46
2019-08-13,BUY,786.72,100,78695.6,61755.96,
2019-09-11,SELL,838.29,100,,145559.81,83803.85
2019-09-25,BUY,942.77,100,94305.28,51254.53,
2019-10-08,SELL,935.87,100,,144813.45,93558.92
2019-10-16,BUY,938.77,100,93905.16,50908.29,
2019-10-17,SELL,952.1,100,,146089.73,95181.44
2019-11-11,BUY,967.77,100,96806.03,49283.69,
2019-11-12,SELL,970.37,100,,146291.58,97007.89
2019-11-14,BUY,998.77,100,99906.96,46384.62,
2019-11-25,SELL,950.83,100,,141439.09,95054.48
2019-12-18,BUY,936.77,100,93705.1,47733.99,
2019-12-26,SELL,903.87,100,,138093.87,90359.88
2019-12-30,BUY,954.57,100,95485.64,42608.24,
2020-01-06,SELL,846.76,100,,127258.83,84650.6
2020-01-17,BUY,876.27,100,87653.29,39605.55,
2020-01-21,SELL,844.07,100,,123987.22,84381.68
2020-02-11,BUY,866.77,100,86703.0,37284.22,
2020-03-02,SELL,854.78,100,,122736.58,85452.36
2020-03-03,BUY,881.77,100,88203.45,34533.13,
2020-03-17,SELL,813.87,100,,115895.71,81362.58
2020-03-31,BUY,879.77,100,88003.39,27892.32,
2020-05-20,SELL,1119.77,100,,139835.72,111943.41
2020-06-03,BUY,1168.07,100,116842.04,22993.68,
2020-06-09,SELL,1185.32,100,,141490.12,118496.44
2020-06-24,BUY,1245.8,100,124617.37,16872.75,
2020-07-21,SELL,1453.79,100,,162208.13,145335.39
2020-08-26,BUY,1512.79,100,151324.38,10883.75,
2020-09-09,SELL,1473.79,100,,158218.54,147334.79
2020-10-13,BUY,1524.79,100,152524.74,5693.79,
2020-10-27,SELL,1410.79,100,,146730.47,141036.68
2021-08-26,BUY,1400.08,100,140050.0,6680.47,
2021-10-22,SELL,1706.08,100,,177237.28,170556.82
2021-10-25,BUY,1678.11,100,167861.34,9375.94,
2021-10-26,SELL,1666.13,100,,175938.96,166563.02
2021-11-23,BUY,1701.51,100,170202.05,5736.91,
2021-12-22,SELL,1853.08,100,,190989.32,185252.41
2022-01-27,BUY,1770.08,100,177061.1,13928.22,
2022-02-07,SELL,1673.04,100,,181182.03,167253.81
2022-02-17,BUY,1692.07,100,169257.76,11924.26,
2022-02-23,SELL,1632.09,100,,175084.3,163160.04
2022-03-03,BUY,1605.08,100,160556.15,14528.15,
2022-03-04,SELL,1585.58,100,,173038.58,158510.43
2022-03-24,BUY,1526.01,100,152646.78,20391.8,
2022-04-26,SELL,1537.56,100,,174101.67,153709.87
2022-04-28,BUY,1640.08,100,164057.2,10044.47,
2022-05-11,SELL,1573.08,100,,167305.28,157260.81
2022-06-01,BUY,1593.33,100,159380.8,7924.48,
2022-07-08,SELL,1825.76,100,,190445.71,182521.23
2022-08-16,BUY,1744.6,100,174512.34,15933.37,
2022-08-22,SELL,1720.74,100,,187955.75,172022.38
2022-09-01,BUY,1707.65,100,170816.23,17139.52,
2022-09-06,SELL,1671.76,100,,184265.36,167125.85
2022-09-15,BUY,1706.76,100,170727.2,13538.16,
2022-09-23,SELL,1661.19,100,,179607.33,166069.16
2022-09-27,BUY,1714.76,100,171527.44,8079.88,
2022-10-11,SELL,1606.75,100,,168706.68,160626.8
2022-11-08,BUY,1311.64,100,131203.35,37503.33,
2022-12-27,SELL,1581.67,100,,195622.88,158119.55
2023-01-09,BUY,1689.87,100,169037.7,26585.18,
2023-01-31,SELL,1694.43,100,,195977.35,169392.17
2023-03-24,BUY,1627.29,100,162777.82,33199.53,
2023-04-12,SELL,1542.77,100,,187430.25,154230.72
2023-04-28,BUY,1609.19,100,160967.28,26462.97,
2023-05-11,SELL,1565.74,100,,182990.0,156527.03
2023-05-23,BUY,1573.22,100,157369.2,25620.81,
2023-05-29,SELL,1537.67,100,,179341.68,153720.87
2023-06-12,BUY,1544.67,100,154513.34,24828.33,
2023-07-10,SELL,1575.48,100,,182329.07,157500.74
2023-07-13,BUY,1612.98,100,161346.39,20982.68,
2023-08-14,SELL,1677.58,100,,188690.35,167707.67
2023-09-04,BUY,1740.58,100,174110.22,14580.14,
2023-09-11,SELL,1696.75,100,,184204.23,169624.1
2023-11-02,BUY,1654.08,100,165457.62,18746.61,
2023-11-30,SELL,1666.08,100,,185304.63,166558.02
2023-12-01,BUY,1634.86,100,163535.05,21769.58,
2023-12-04,SELL,1625.29,100,,184249.82,162480.24
2023-12-26,BUY,1563.68,100,156414.91,27834.91,
2024-01-10,SELL,1535.18,100,,181306.86,153471.94
2024-01-26,BUY,1531.0,100,153145.93,28160.93,
2024-02-05,SELL,1523.69,100,,180484.22,152323.29
2024-02-06,BUY,1569.68,100,157015.09,23469.13,
2024-03-05,SELL,1588.78,100,,182299.46,158830.34
2024-03-13,BUY,1621.13,100,162161.63,20137.83,
2024-03-21,SELL,1602.68,100,,180357.75,160219.92
2024-04-24,BUY,1587.28,100,158775.62,21582.13,
2024-05-16,SELL,1598.18,100,,181352.19,159770.05
2024-07-03,BUY,1424.56,100,142498.74,38853.45,
2024-07-29,SELL,1322.58,100,,171071.77,132218.32
2024-08-08,BUY,1355.25,100,135565.66,35506.11,
2024-09-10,SELL,1302.56,100,,165723.04,130216.92
2024-09-26,BUY,1453.56,100,145399.61,20323.43,
2024-10-18,SELL,1465.56,100,,166835.46,146512.03
2024-11-08,BUY,1534.53,100,153499.04,13336.43,
2024-11-14,SELL,1498.36,100,,163127.48,149791.05
2024-12-11,BUY,1460.16,100,146059.8,17067.67,
