date,action,price,shares,cost,cash_after,revenue
2024-05-27,SELL,138.59,1600,,231137.2,221677.48
2024-07-04,BUY,117.6,1900,223507.03,7630.17,
2024-07-31,SELL,118.54,1900,,232788.6,225158.43
2024-08-01,BUY,115.68,2000,231429.41,1359.19,
2024-08-02,SELL,115.38,2000,,232049.96,230690.77
2024-08-06,BUY,117.58,1900,223469.02,8580.94,
2024-08-20,SELL,114.83,1900,,226692.49,218111.55
2024-09-06,BUY,109.21,2000,218485.53,8206.96,
2024-09-09,SELL,107.9,2000,,223942.22,215735.26
2024-09-25,BUY,113.78,1900,216246.85,7695.37,
2024-10-21,SELL,134.69,1900,,263529.6,255834.23
2024-11-08,BUY,148.15,1700,251930.56,11599.04,
2024-11-13,SELL,145.62,1700,,259078.77,247479.73
2024-12-13,BUY,139.72,1800,251571.45,7507.32,
2024-12-17,SELL,136.57,1800,,253259.58,245752.25
