model,split,rows,days,rank_ic_mean,rank_ic_std,icir,direction_hit_rate,top_quantile_ret,bottom_quantile_ret,long_short_ret
lstm,val,4246,225,0.0734354738638727,0.2796076098615464,0.2626376081117242,0.5211964201601508,0.0009561044458920757,-0.004212258556443784,0.005168363002335859
lstm,test,4237,223,0.004884682827691371,0.2702888465205896,0.01807208432967756,0.45928723153174417,-0.002979030001688239,0.004650672440387877,-0.007629702442076116
lstm,all,8483,448,0.03931309350434494,0.27683558487390547,0.14200881552944675,0.49027466698102085,-0.0010026789956490184,0.0001994236138541185,-0.001202102609503137
