date,stock_code,split,label_excess_ret_5d,pred_lstm,pred_anchor,pred_lstm_z,pred_anchor_z,selected_model,pred_v52
2024-05-17,600025,val,0.058967113,0.0017907172,0.0016200281354201,0.12897154497463342,0.3636500746763547,anchor,0.3636500746763547
2024-05-17,600051,val,-0.018087361,8.279085e-05,0.0004114766633864,-0.037419381940250976,0.18270925689479334,anchor,0.18270925689479334
2024-05-17,600127,val,0.014376506,0.01049567,0.0004114766633864,0.9770322152384995,0.18270925689479334,anchor,0.18270925689479334
2024-05-17,600153,val,-0.060891952,-0.02912917,-0.0227777402687703,-2.88332971222634,-3.289112980314365,anchor,-3.289112980314365
2024-05-17,600548,val,0.06501265,0.0015487373,0.0052411526541779,0.10539719128205703,0.9057943249417905,anchor,0.9057943249417905
2024-05-17,600865,val,-0.051529437,-0.017825246,0.0020214131524335,-1.7820700518578423,0.4237442741409889,anchor,0.4237442741409889
2024-05-17,600967,val,4.4893873e-06,0.010070816,-0.0091594146743178,0.9356417589910762,-1.25021680841256,anchor,-1.25021680841256
2024-05-17,601222,val,0.025008403,0.0027381703,0.0004114766633864,0.22127505649161464,0.18270925689479334,anchor,0.18270925689479334
2024-05-17,603237,val,0.0058543044,-0.0008619875,0.0052411526541779,-0.1294623118860388,0.9057943249417905,anchor,0.9057943249417905
2024-05-17,603335,val,-0.014443117,0.0020749196,0.0020214131524335,0.15665933184403488,0.4237442741409889,anchor,0.4237442741409889
2024-05-17,603658,val,0.006401849,0.012996629,0.0052411526541779,1.220682584697418,0.9057943249417905,anchor,0.9057943249417905
2024-05-17,605090,val,0.013240861,0.0073709935,0.0052411526541779,0.672617555236236,0.9057943249417905,anchor,0.9057943249417905
2024-05-17,605589,val,-0.050172966,0.0107109025,0.0004114766633864,0.9980007629614196,0.18270925689479334,anchor,0.18270925689479334
2024-05-17,688031,val,0.0046371617,0.004390076,-0.0039063767791179,0.38220829614740004,-0.4637472251224429,anchor,-0.4637472251224429
2024-05-17,688045,val,-0.019618645,-0.0046928525,-0.0039063767791179,-0.5026758162246706,-0.4637472251224429,anchor,-0.4637472251224429
2024-05-17,688133,val,-0.034336742,0.0013059154,0.0004114766633864,0.08174080761174633,0.18270925689479334,anchor,0.18270925689479334
2024-05-17,688147,val,-0.0077167824,-0.00043032318,-0.0039063767791179,-0.08740837535599856,-0.4637472251224429,anchor,-0.4637472251224429
2024-05-17,688528,val,0.030348754,-0.0042328537,0.0004114766633864,-0.4578614559849949,0.18270925689479334,anchor,0.18270925689479334
2024-05-20,600025,val,0.050708167,0.0017654449,-0.0091594146743178,0.02449843094553383,-1.664626933601973,anchor,-1.664626933601973
2024-05-20,600051,val,-0.0073102284,-0.0044164285,0.0004114766633864,-0.6913770236805441,0.2833025635125645,anchor,0.2833025635125645
2024-05-20,600127,val,-0.02451783,0.009312384,0.0004114766633864,0.8984516987765806,0.2833025635125645,anchor,0.2833025635125645
