model,split,rows,days,rank_ic_mean,rank_ic_std,icir,direction_hit_rate,top_quantile_ret,bottom_quantile_ret,long_short_ret
lstm,val,4246,225,0.0734354738638727,0.2796076098615464,0.2626376081117242,0.5211964201601508,0.0009561043029396666,-0.004212258648951111,0.005168362951890778
lstm,test,4237,223,0.004884682827691371,0.2702888465205896,0.01807208432967756,0.45928723153174417,-0.0029790299938228697,0.004650672507578474,-0.007629702501401346
lstm,all,8483,448,0.03931309350434494,0.27683558487390547,0.14200881552944675,0.49027466698102085,-0.0010026790635291852,0.000199423600839285,-0.0012021026643684704
anchor,val,4246,225,0.032855318597272094,0.2737461532881605,0.12002111519239049,0.4936410739519548,-0.010348599272574971,0.0004668722048945408,-0.01081547147746951
anchor,test,4237,223,0.030203007301983383,0.2707501918439838,0.11155304118634739,0.4649516167099363,0.005469595602939393,-0.002124544734707293,0.007594140337646687
anchor,all,8483,448,0.031535083287340435,0.27195754067457534,0.11595590697400572,0.47931156430508076,-0.002650155761731417,-0.0007943258698269326,-0.001855829891904484
stage5_2,val,4246,225,0.06857435842562491,0.277646556867605,0.24698436457947653,0.509185115402732,-0.002381764894262961,-0.0042220530774564205,0.0018402881831934604
stage5_2,test,4237,223,0.029717830299518667,0.273758967426305,0.10855472819358368,0.47462827472268115,0.001973564786140084,2.101421618797753e-05,0.0019525505699521065
stage5_2,all,8483,448,0.049232827684281846,0.2760956784064624,0.1783179945750628,0.4919250265236355,-0.0002599376140666057,-0.002154917729270688,0.0018949801152040827
