date,stock_code,split,label_excess_ret_5d,pred_lstm,fit_start_date,fit_end_date,train_samples,val_samples,best_epoch,trained_epochs,best_score
2024-05-17,600025,val,0.058967113,-2.05338e-05,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,600051,val,-0.018087361,-0.0028054193,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,600127,val,0.014376506,0.004602559,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,600153,val,-0.060891952,-0.024225958,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,600548,val,0.06501265,-0.002517812,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,600865,val,-0.051529437,-0.021943964,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,600967,val,4.4893873e-06,-0.00084888935,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,601222,val,0.025008403,0.0012253895,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,603237,val,0.0058543044,-0.0047771707,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,603335,val,-0.014443117,-0.0021936372,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,603658,val,0.006401849,0.014283933,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,605090,val,0.013240861,0.007337421,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,605589,val,-0.050172966,0.0031212196,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,688031,val,0.0046371617,0.002140142,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,688045,val,-0.019618645,-0.0029991642,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,688133,val,-0.034336742,-0.0014401153,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,688147,val,-0.0077167824,-0.00799828,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-17,688528,val,0.030348754,-0.010103576,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600025,val,0.050708167,-0.0006875321,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600051,val,-0.0073102284,-0.0033802316,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600127,val,-0.02451783,0.0037555844,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600153,val,-0.021034857,-0.014397599,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600548,val,0.072479,-0.0022618696,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600865,val,-0.0061404784,-0.016244374,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,600967,val,-0.019992087,-0.0021402612,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,601222,val,0.034076422,0.0014990047,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,603237,val,0.015883299,-0.0040545464,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,603335,val,-0.029349763,0.002196543,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,603658,val,-0.013181648,0.013950519,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,605090,val,-0.003250144,0.007295884,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,605589,val,-0.004639289,0.0030753985,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,688031,val,-0.030744199,0.0019308254,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,688045,val,0.038331192,0.0008280501,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
2024-05-20,688133,val,-0.04538062,0.0011079311,2021-03-26,2024-05-16,10769,720,4,8,0.0012479972986814876
