lookback_days,label_delay_days,val_rank_ic,val_long_short,test_rank_ic,test_long_short,val_lstm_ratio,test_lstm_ratio,selector_rows
9,0,0.06324622875157127,-0.0030745998888711723,0.054132735059683336,0.01340572130423966,0.5939707960433349,0.40358744394618834,448
7,0,0.06207153868973562,-0.0022007730012542797,0.05150560061403154,0.012190950526574987,0.5671219971738106,0.4170403587443946,448
5,0,0.06889392391796825,-0.00031461745041567616,0.050820632861088094,0.011892119464743531,0.5536975977390485,0.4170403587443946,448
10,0,0.0680791092104409,-0.0031948044028927286,0.05021687239883961,0.012388923527632332,0.6118699952896844,0.3991031390134529,448
8,0,0.05791709171127988,-0.0037612898842320024,0.04985049001151769,0.012349869335943812,0.5536975977390485,0.39461883408071746,448
6,0,0.06365471001706217,-0.0006821606552791479,0.04754741650630956,0.011835432839475213,0.5581723975506359,0.42152466367713004,448
12,0,0.07520674390771527,-0.0006185855399677197,0.04706878920680504,0.010538247389849098,0.6566179934055582,0.36771300448430494,448
20,0,0.07046397310260419,0.0008188577395996694,0.03962380712887021,0.007524949668590948,0.7371643900141309,0.3811659192825112,448
5,10,0.05811286899761686,-9.448609329732751e-06,0.03774097840091401,-0.00046663323105207796,0.5471031559114461,0.40358744394618834,448
7,10,0.03751557234722296,-0.0022846978383485616,0.03725516837319254,3.909343880005996e-05,0.5560527555346209,0.40358744394618834,448
8,10,0.04469722671446976,0.00012813326055244496,0.03712334178064703,-0.0007407650059773277,0.5426283560998587,0.38565022421524664,448
6,10,0.039594277364409715,-0.0010294809084658717,0.03703439337682469,6.452715105308421e-05,0.5515779557230335,0.40358744394618834,448
15,0,0.06784312525284496,-0.0008597480027831021,0.03409783545447681,0.008362972380452817,0.6789919924634951,0.36771300448430494,448
9,10,0.051676007903090605,0.0005292737962364277,0.03302826820987305,-0.0006228724517195411,0.5739519547809703,0.3991031390134529,448
30,0,0.06131972148904709,-0.0009407360192620807,0.031930263348859546,0.011465232205506453,0.7282147903909562,0.4798206278026906,448
10,10,0.05516865252639535,-0.0009556161940192677,0.03144432172910291,0.0008093538252642984,0.5873763542157324,0.3991031390134529,448
8,7,0.06857435842562491,0.0018402881831934604,0.029717830299518667,0.0019525505699521065,0.5553462081959492,0.37668161434977576,448
9,7,0.062431905787265755,0.0016539750663606613,0.027769017561923015,0.0007084228939667904,0.5866698068770607,0.39461883408071746,448
10,5,0.07091914748048292,0.00035666675672337445,0.023717581598223056,-0.0018264154093333269,0.6085727743758832,0.39461883408071746,448
10,7,0.055232390064818185,-0.00041591393042330314,0.022878928921711686,-0.00203732113629574,0.6000942063118229,0.39461883408071746,448
30,5,0.053632795688949166,-0.001341721747551017,0.022789808186640916,0.008960203875587065,0.7070183702308055,0.48878923766816146,448
9,3,0.061384798842235126,-0.0030556017308696727,0.02262821786791045,0.007091777372160626,0.5946773433820066,0.3991031390134529,448
30,7,0.051021720109833885,-0.0017087934232732627,0.022530968112350638,0.011153628434977365,0.6985398021667452,0.48878923766816146,448
12,7,0.054268008280216454,-0.0012777079300614592,0.02222299382695769,-0.002854523152824892,0.6358926048045219,0.36771300448430494,448
12,5,0.06374382294436463,0.000322840087444496,0.021797807832840643,0.000607231977536481,0.6443711728685821,0.36771300448430494,448
7,7,0.07171779607449338,0.0005477019410132264,0.021208732803031313,-0.002388127435041877,0.5687706076307113,0.39461883408071746,448
5,7,0.06798096230570917,-0.0030030371897043283,0.021156506788381275,0.0012130804371548074,0.5508714083843618,0.40358744394618834,448
15,3,0.05484770947750191,-0.000538609990051892,0.02057418880114428,0.0012989918772519846,0.6662741403674046,0.37668161434977576,448
9,5,0.06861747024436951,-0.0012998314407615598,0.020465678836788726,0.0017015047293345031,0.595148374941121,0.39461883408071746,448
12,3,0.06046827172056517,-0.0006545166418581406,0.020460306389819678,0.0030190637802943983,0.6528497409326425,0.36771300448430494,448
8,5,0.0714011571659375,-0.0015104455752058188,0.020025174613922402,-0.0005230067940778751,0.5548751766368347,0.38565022421524664,448
7,5,0.06654778029529511,-0.0010142544069276598,0.01949893351402998,-0.001427169082194231,0.5682995760715968,0.40358744394618834,448
40,0,0.0633849437683657,-0.00039886430291674005,0.01804368311595011,0.011569214191407691,0.7595383890720678,0.5067264573991032,448
7,3,0.05577353524635326,-0.00478663519093604,0.017720175346593436,0.0033243959463454247,0.5678285445124823,0.4125560538116592,448
20,3,0.049670980778842994,-0.0009271194797200331,0.01744634408453079,0.006265577394043747,0.7244465379180405,0.39461883408071746,448
30,3,0.047500733457382684,-0.002441253116038893,0.017403649574062766,0.008215470426721052,0.7154969382948657,0.48878923766816146,448
8,3,0.05068319728313583,-0.006977690198784357,0.01736957371165079,0.0007175753147158503,0.5544041450777202,0.3901345291479821,448
15,5,0.062322983951080255,0.0008123547739355501,0.016952216527860598,-0.0017344614991203764,0.6577955723033443,0.37668161434977576,448
