date,action,price,shares,cost,cash_after,revenue
2018-08-07,BUY,35.54,2800,99541.85,458.15,
2019-03-01,SELL,40.49,2800,,113796.13,113337.99
2021-03-18,BUY,73.46,1500,110223.06,3573.08,
2022-06-28,SELL,34.94,1500,,55967.35,52394.28
2022-12-22,BUY,36.07,1500,54121.23,1846.12,
2023-01-17,SELL,41.62,1500,,64257.39,62411.27
2023-08-07,BUY,38.73,1600,61986.59,2270.8,
2023-11-01,SELL,47.57,1600,,78359.97,76089.17
2024-01-09,BUY,40.8,1900,77543.26,816.71,
2024-09-30,SELL,52.1,1900,,99777.02,98960.3
