date,action,price,shares,cost,cash_after,revenue
2020-08-27,BUY,67.23,1400,94150.24,5849.76,
2020-11-10,SELL,66.01,1400,,98236.04,92386.28
2020-12-17,BUY,56.01,1700,95245.57,2990.47,
2021-01-13,SELL,62.66,1700,,109480.52,106490.04
2021-02-08,BUY,52.01,2100,109253.77,226.75,
2021-04-06,SELL,58.31,2100,,122641.02,122414.26
2021-07-19,BUY,51.8,2300,119175.74,3465.27,
2021-07-28,SELL,59.26,2300,,139722.38,136257.11
2021-09-27,BUY,54.66,2500,136690.99,3031.39,
2021-11-04,SELL,56.83,2500,,145063.77,142032.38
2021-12-21,BUY,53.08,2700,143358.99,1704.77,
2022-06-06,SELL,45.69,2700,,125030.76,123325.99
2022-07-07,BUY,43.31,2800,121304.38,3726.38,
2022-08-08,SELL,43.0,2800,,124090.26,120363.88
2022-09-20,BUY,38.7,3200,123877.15,213.11,
2022-10-27,SELL,42.13,3200,,134988.67,134775.56
2023-05-10,BUY,52.45,2500,131164.34,3824.33,
2023-08-01,SELL,50.72,2500,,130586.29,126761.96
2023-08-14,BUY,47.34,2700,127856.35,2729.94,
2023-08-31,SELL,54.24,2700,,149134.01,146404.07
2024-01-08,BUY,49.5,3000,148544.55,589.46,
2024-03-01,SELL,48.51,3000,,146075.8,145486.34
2024-03-26,BUY,44.54,3200,142570.76,3505.04,
2024-05-10,SELL,42.99,3200,,141031.77,137526.73
2024-09-12,BUY,42.98,3200,137577.26,3454.51,
2024-09-30,SELL,59.99,3200,,195364.92,191910.41
2024-12-17,BUY,82.19,2300,189093.71,6271.21,
2024-12-23,SELL,95.18,2300,,225119.53,218848.33
