date,action,price,shares,cost,cash_after,revenue
2018-04-23,BUY,67.69,1400,94794.43,5205.57,
2018-05-02,SELL,60.68,1400,,90132.08,84926.51
2018-05-24,BUY,60.11,1400,84179.25,5952.84,
2018-05-30,SELL,53.22,1400,,80438.49,74485.65
2018-07-03,BUY,54.98,1400,76995.09,3443.39,
2018-08-06,SELL,50.65,1400,,74332.12,70888.73
2018-08-29,BUY,55.89,1300,72678.8,1653.32,
2018-09-10,SELL,45.28,1300,,60499.67,58846.34
2018-11-19,BUY,38.08,1500,57137.14,3362.53,
2018-12-13,SELL,34.39,1500,,54932.05,51569.52
2019-01-23,BUY,30.4,1800,54736.42,195.64,
2019-03-28,SELL,47.39,1800,,85472.05,85276.41
2019-04-08,BUY,54.52,1500,81804.53,3667.51,
2019-04-17,SELL,49.39,1500,,77730.29,74062.77
2019-05-28,BUY,40.01,1900,76041.81,1688.48,
2019-06-04,SELL,35.9,1900,,69878.02,68189.54
2019-06-21,BUY,41.49,1600,66403.92,3474.1,
2019-08-05,SELL,43.38,1600,,72861.28,69387.18
2019-08-21,BUY,53.91,1300,70104.02,2757.26,
2019-10-09,SELL,70.17,1300,,93950.89,91193.63
2019-10-30,BUY,78.3,1100,86155.84,7795.05,
2019-11-27,SELL,82.21,1100,,98198.92,90403.87
2019-12-04,BUY,90.09,1000,90117.03,8081.89,
2020-03-09,SELL,148.37,1000,,156407.38,148325.49
2020-04-21,BUY,128.52,1200,154270.27,2137.12,
2020-04-28,SELL,129.68,1200,,157706.43,155569.32
2020-05-07,BUY,159.01,900,143151.93,14554.5,
2020-05-27,SELL,136.87,900,,137700.54,123146.05
2020-06-09,BUY,159.71,800,127806.33,9894.21,
2020-07-22,SELL,170.82,800,,146509.22,136615.0
2020-10-14,BUY,129.18,1100,142140.63,4368.59,
2020-10-26,SELL,122.57,1100,,139155.14,134786.55
2020-11-02,BUY,144.44,900,130035.0,9120.14,
2020-11-27,SELL,143.0,900,,137781.53,128661.39
2020-12-07,BUY,150.44,900,135436.62,2344.91,
2020-12-14,SELL,144.43,900,,132292.92,129948.0
2021-01-07,BUY,140.83,900,126785.02,5507.89,
2021-01-28,SELL,130.65,900,,123057.62,117549.72
2021-02-25,BUY,137.87,800,110329.09,12728.53,
2021-03-10,SELL,119.77,800,,108515.78,95787.26
2021-04-02,BUY,127.94,800,102382.71,6133.08,
2021-04-22,SELL,119.51,800,,101712.39,95579.32
2021-04-29,BUY,136.01,700,95235.56,6476.83,
2021-05-12,SELL,119.02,700,,89765.84,83289.01
2021-05-28,BUY,131.48,600,78911.67,10854.17,
2021-07-19,SELL,169.16,600,,112319.72,101465.55
2021-07-26,BUY,198.54,500,99299.78,13019.94,
2021-08-12,SELL,186.25,500,,106117.0,93097.06
2021-10-21,BUY,144.67,700,101299.38,4817.62,
2021-11-19,SELL,157.28,700,,114880.6,110062.97
2021-12-06,BUY,170.6,600,102390.71,12489.89,
2021-12-23,SELL,169.49,600,,114153.38,101663.49
2022-01-05,BUY,156.28,700,109428.82,4724.56,
2022-01-06,SELL,160.94,700,,117348.76,112624.2
2022-02-24,BUY,149.71,700,104828.44,12520.32,
2022-03-30,SELL,144.57,700,,113688.96,101168.64
2022-05-18,BUY,132.82,800,106287.88,7401.09,
2022-06-14,SELL,130.57,800,,111825.75,104424.66
2022-07-01,BUY,137.89,800,110345.09,1480.66,
2022-07-08,SELL,134.32,800,,108904.42,107423.76
2022-08-09,BUY,127.84,800,102302.68,6601.74,
2022-08-22,SELL,118.7,800,,101533.25,94931.51
2022-11-07,BUY,89.15,1100,98094.42,3438.83,
2022-12-09,SELL,98.4,1100,,111646.36,108207.53
2022-12-13,BUY,106.86,1000,106892.06,4754.3,
2022-12-23,SELL,93.74,1000,,98466.18,93711.88
2023-01-03,BUY,102.24,900,92043.6,6422.57,
2023-01-09,SELL,104.1,900,,100084.47,93661.89
2023-01-10,BUY,105.42,900,94906.46,5178.0,
2023-02-17,SELL,107.78,900,,102150.9,96972.9
2023-03-21,BUY,106.55,900,95923.77,6227.13,
2023-04-26,SELL,110.02,900,,105215.43,98988.29
2023-05-24,BUY,107.42,900,96707.0,8508.43,
2023-06-08,SELL,100.17,900,,98634.38,90125.95
2023-06-19,BUY,113.12,800,90523.15,8111.23,
2023-06-29,SELL,105.02,800,,92102.03,83990.8
2023-07-06,BUY,110.1,800,88106.42,3995.6,
2023-07-28,SELL,113.89,800,,95080.27,91084.67
2023-08-01,BUY,114.07,800,91283.38,3796.89,
2023-08-07,SELL,104.99,800,,87763.69,83966.8
2023-09-06,BUY,99.58,800,79687.9,8075.79,
2023-10-23,SELL,94.36,800,,83541.15,75465.35
2023-11-01,BUY,105.12,700,73606.08,9935.07,
2023-11-22,SELL,95.35,700,,76660.05,66724.98
2023-12-20,BUY,90.82,800,72677.8,3982.25,
2023-12-21,SELL,91.35,800,,77040.33,73058.08
2024-02-23,BUY,71.64,1000,71661.49,5378.84,
2024-03-29,SELL,71.53,1000,,76887.38,71508.54
2024-04-19,BUY,73.75,1000,73772.12,3115.25,
2024-05-27,SELL,81.14,1000,,84230.91,81115.66
2024-06-04,BUY,84.96,900,76486.94,7743.97,
2024-07-09,SELL,96.08,900,,94190.03,86446.06
2024-07-10,BUY,96.7,900,87056.11,7133.92,
2024-07-24,SELL,85.96,900,,84474.71,77340.79
2024-09-27,BUY,80.06,1000,80084.02,4390.69,
2024-11-20,SELL,87.97,1000,,92334.3,87943.61
2024-12-16,BUY,96.32,900,86714.01,5620.3,
