date,action,price,shares,cost,cash_after,revenue
2018-02-07,BUY,10.17,9800,99695.9,304.1,
2018-02-08,SELL,9.79,9800,,96217.32,95913.22
2018-04-13,BUY,8.82,10900,96166.84,50.48,
2018-05-04,SELL,7.93,10900,,86461.55,86411.07
2018-07-23,BUY,6.8,12700,86385.91,75.64,
2018-08-08,SELL,6.43,12700,,81712.14,81636.5
2018-08-13,BUY,6.43,12700,81685.5,26.64,
2018-08-15,SELL,6.17,12700,,78362.13,78335.49
2018-08-24,BUY,7.41,10500,77828.34,533.79,
2018-09-17,SELL,7.07,10500,,74746.52,74212.73
2018-09-25,BUY,7.93,9400,74564.36,182.16,
2018-10-16,SELL,7.75,9400,,73010.3,72828.15
2018-10-23,BUY,8.22,8800,72357.7,652.6,
2018-11-13,SELL,7.92,8800,,70327.69,69675.09
2019-01-11,BUY,7.58,9200,69756.92,570.77,
2019-03-27,SELL,9.76,9200,,90335.84,89765.06
2019-04-03,BUY,10.82,8300,89832.94,502.89,
2019-05-07,SELL,10.33,8300,,86216.17,85713.28
2019-06-14,BUY,9.87,8700,85894.76,321.41,
2019-07-24,SELL,11.41,8700,,99558.63,99237.22
2019-07-25,BUY,11.73,8400,98561.56,997.07,
2019-08-07,SELL,11.07,8400,,93957.17,92960.1
2019-08-13,BUY,12.42,7500,93177.94,779.23,
2019-08-29,SELL,11.66,7500,,88202.99,87423.76
2019-09-11,BUY,12.09,7200,87074.11,1128.88,
2019-11-13,SELL,13.86,7200,,100890.94,99762.06
2019-12-17,BUY,14.03,7100,99642.88,1248.06,
2020-01-17,SELL,13.92,7100,,100050.41,98802.35
2020-02-21,BUY,13.11,7600,99665.89,384.52,
2020-03-03,SELL,12.25,7600,,93456.59,93072.07
2020-04-16,BUY,10.21,9100,92938.87,517.72,
2020-04-20,SELL,10.52,9100,,96221.0,95703.28
2020-04-21,BUY,10.98,8700,95554.66,666.34,
2020-05-19,SELL,10.89,8700,,95380.92,94714.58
2020-06-04,BUY,11.31,8400,95032.5,348.41,
2020-06-17,SELL,10.59,8400,,89277.73,88929.31
2020-07-06,BUY,13.42,6600,88598.57,679.16,
2020-07-27,SELL,10.98,6600,,73125.42,72446.26
2020-08-12,BUY,12.12,6000,72741.82,383.6,
2020-09-30,SELL,12.91,6000,,77820.36,77436.76
2020-10-15,BUY,14.3,5400,77243.17,577.2,
2020-11-16,SELL,15.11,5400,,82146.72,81569.52
2020-11-20,BUY,16.6,4900,81364.4,782.31,
2020-12-11,SELL,16.26,4900,,80432.41,79650.1
2020-12-31,BUY,17.08,4700,80300.08,132.33,
2021-02-24,SELL,19.9,4700,,93634.27,93501.94
2021-04-01,BUY,19.52,4700,91771.52,1862.75,
2021-04-14,SELL,18.41,4700,,88363.79,86501.04
2021-04-23,BUY,21.03,4200,88352.5,11.29,
2021-06-16,SELL,21.18,4200,,88940.6,88929.31
2021-08-13,BUY,17.81,4900,87295.18,1645.42,
2021-08-30,SELL,15.64,4900,,78258.43,76613.01
2021-09-13,BUY,18.13,4300,77982.39,276.05,
2021-09-24,SELL,15.27,4300,,65917.35,65641.3
2021-10-14,BUY,17.13,3800,65113.53,803.82,
2021-11-03,SELL,15.95,3800,,61395.64,60591.82
2021-12-09,BUY,16.62,3600,59849.95,1545.69,
2021-12-17,SELL,15.49,3600,,57292.96,55747.27
2022-01-25,BUY,14.77,3800,56142.84,1150.12,
2022-02-07,SELL,14.31,3800,,55511.81,54361.69
2022-02-14,BUY,14.5,3800,55116.53,395.28,
2022-02-17,SELL,14.34,3800,,54870.93,54475.65
