date,action,price,shares,cost,cash_after,revenue
2018-01-04,BUY,30.18,3300,99623.88,376.12,
2018-01-30,SELL,31.76,3300,,105152.68,104776.56
2018-02-27,BUY,31.56,3300,104179.24,973.44,
2018-03-30,SELL,37.5,3300,,124686.31,123712.88
2018-05-10,BUY,39.54,3100,122610.77,2075.54,
2018-06-14,SELL,42.98,3100,,135273.57,133198.03
2018-07-19,BUY,41.2,3200,131879.55,3394.01,
2018-07-24,SELL,39.92,3200,,131099.69,127705.68
2018-08-14,BUY,39.98,3200,127974.38,3125.31,
2018-08-21,SELL,37.6,3200,,123409.21,120283.9
2018-08-22,BUY,37.35,3300,123291.98,117.24,
2018-09-06,SELL,35.63,3300,,117660.96,117543.73
2018-09-26,BUY,35.11,3300,115897.76,1763.21,
2018-10-12,SELL,31.99,3300,,107298.54,105535.33
2018-10-18,BUY,30.91,3400,105125.53,2173.01,
2018-10-19,SELL,31.58,3400,,109512.8,107339.79
2018-10-23,BUY,33.75,3200,108032.4,1480.4,
2018-11-20,SELL,35.08,3200,,113702.72,112222.32
2018-12-03,BUY,37.57,3000,112743.81,958.91,
2018-12-10,SELL,32.97,3000,,99839.23,98880.33
2019-01-08,BUY,30.07,3300,99260.77,578.46,
2019-03-11,SELL,39.51,3300,,130922.35,130343.89
2019-03-29,BUY,44.38,2900,128740.61,2181.74,
2019-04-12,SELL,43.83,2900,,129250.61,127068.87
2019-06-04,BUY,42.03,3000,126127.83,3122.78,
2019-06-06,SELL,39.22,3000,,120747.48,117624.7
2019-06-17,BUY,41.73,2800,116879.05,3868.43,
2019-07-10,SELL,45.77,2800,,131985.98,128117.55
2019-08-14,BUY,46.66,2800,130687.19,1298.79,
2019-09-12,SELL,53.54,2800,,151165.81,149867.03
2019-10-16,BUY,58.66,2500,146693.99,4471.82,
2019-10-22,SELL,57.07,2500,,147104.02,142632.2
2019-10-29,BUY,61.98,2300,142596.77,4507.25,
2019-11-12,SELL,61.23,2300,,145294.0,140786.75
2019-11-20,BUY,64.93,2200,142888.85,2405.15,
2019-11-22,SELL,60.75,2200,,136015.05,133609.9
2019-12-31,BUY,59.73,2200,131445.42,4569.63,
2020-02-05,SELL,60.7,2200,,138069.57,133499.94
2020-02-06,BUY,61.52,2200,135384.6,2684.96,
2020-02-24,SELL,60.33,2200,,135371.15,132686.18
2020-03-09,BUY,60.68,2200,133536.05,1835.1,
2020-03-13,SELL,57.77,2200,,128890.97,127055.87
2020-03-26,BUY,61.65,2000,123336.99,5553.98,
2020-04-24,SELL,65.12,2000,,135754.91,130200.93
2020-05-22,BUY,65.54,2000,131119.32,4635.58,
2020-05-25,SELL,66.57,2000,,137735.64,133100.06
2020-06-08,BUY,66.03,2000,132099.62,5636.02,
2020-06-09,SELL,68.26,2000,,142115.07,136479.04
2020-06-10,BUY,69.56,2000,139161.74,2953.33,
2020-07-20,SELL,79.52,2000,,161945.62,158992.29
2020-08-25,BUY,77.44,2000,154926.46,7019.16,
2020-09-09,SELL,74.36,2000,,155694.54,148675.38
2020-10-09,BUY,75.74,2000,151525.44,4169.1,
2020-10-23,SELL,72.57,2000,,149265.55,145096.46
2020-11-06,BUY,73.19,2000,146423.91,2841.64,
2020-11-09,SELL,73.59,2000,,149977.49,147135.85
2020-11-26,BUY,70.78,2100,148682.59,1294.89,
2021-01-12,SELL,94.2,2100,,199055.55,197760.65
2021-03-29,BUY,74.56,2600,193914.16,5141.39,
2021-04-16,SELL,66.3,2600,,177469.68,172328.29
2021-04-29,BUY,67.74,2600,176176.84,1292.84,
2021-06-07,SELL,67.81,2600,,177545.95,176253.11
2021-06-11,BUY,72.24,2400,173428.01,4117.94,
2021-06-23,SELL,70.43,2400,,173099.23,168981.29
2021-06-24,BUY,67.28,2500,168250.46,4848.77,
2021-06-25,SELL,67.34,2500,,173148.26,168299.49
2021-07-22,BUY,60.56,2800,169618.87,3529.39,
2021-07-28,SELL,55.19,2800,,158015.03,154485.64
2021-08-10,BUY,57.02,2700,154000.19,4014.84,
2021-08-23,SELL,46.46,2700,,129419.21,125404.37
2021-09-07,BUY,47.36,2700,127910.36,1508.85,
2021-10-27,SELL,48.34,2700,,131987.7,130478.84
2021-11-08,BUY,48.9,2600,127178.14,4809.55,
2021-11-25,SELL,52.27,2600,,140670.78,135861.23
2021-12-15,BUY,49.28,2800,138025.4,2645.39,
2021-12-16,SELL,49.51,2800,,141231.8,138586.41
2021-12-29,BUY,49.0,2800,137241.16,3990.64,
2021-12-30,SELL,49.29,2800,,141961.24,137970.6
2021-12-31,BUY,49.99,2800,140013.99,1947.24,
2022-01-14,SELL,45.93,2800,,130512.66,128565.42
2022-02-18,BUY,40.24,3200,128806.63,1706.03,
2022-03-09,SELL,35.32,3200,,114696.13,112990.09
2022-03-18,BUY,36.78,3100,114052.21,643.92,
2022-04-11,SELL,32.08,3100,,100062.09,99418.17
2022-04-21,BUY,32.45,3000,97379.21,2682.88,
2022-04-26,SELL,27.02,3000,,83718.56,81035.68
2022-05-12,BUY,29.31,2800,82092.62,1625.94,
2022-07-14,SELL,37.97,2800,,107910.05,106284.11
2022-08-15,BUY,36.34,2900,105417.62,2492.43,
2022-08-16,SELL,35.89,2900,,106542.21,104049.78
2022-09-14,BUY,35.12,3000,105391.61,1150.6,
2022-09-23,SELL,32.37,3000,,98231.47,97080.87
2022-09-30,BUY,34.54,2800,96741.01,1490.45,
2022-11-10,SELL,39.63,2800,,112421.16,110930.71
2022-12-30,BUY,37.97,2900,110146.03,2275.13,
2023-02-22,SELL,43.55,2900,,128532.24,126257.11
2023-03-24,BUY,41.14,3100,127572.26,959.98,
2023-05-08,SELL,45.95,3100,,143362.25,142402.27
2023-05-23,BUY,48.54,2900,140808.23,2554.02,
2023-05-25,SELL,47.5,2900,,140262.69,137708.68
2023-06-19,BUY,46.48,3000,139481.83,780.86,
2023-07-18,SELL,46.8,3000,,141138.74,140357.88
2023-07-28,BUY,48.65,2900,141127.33,11.41,
2023-08-01,SELL,42.98,2900,,124616.02,124604.61
2023-08-25,BUY,40.32,3000,120996.29,3619.73,
2023-10-17,SELL,44.07,3000,,135790.07,132170.34
2023-10-31,BUY,47.54,2800,133151.93,2638.14,
2023-11-15,SELL,46.93,2800,,134002.72,131364.58
2024-01-02,BUY,44.07,3000,132249.66,1753.05,
2024-01-05,SELL,41.55,3000,,126365.66,124612.6
2024-01-26,BUY,39.9,3100,123727.11,2638.55,
2024-01-30,SELL,38.29,3100,,121301.94,118663.39
2024-02-07,BUY,41.44,2900,120212.05,1089.89,
2024-03-28,SELL,45.81,2900,,133899.03,132809.15
2024-04-30,BUY,45.76,2900,132743.81,1155.22,
2024-05-16,SELL,44.29,2900,,129557.69,128402.47
2024-06-06,BUY,42.51,3000,127568.26,1989.43,
2024-06-07,SELL,41.75,3000,,127201.86,125212.43
2024-07-09,BUY,38.59,3200,123525.05,3676.81,
2024-07-31,SELL,42.01,3200,,138068.48,134391.67
2024-08-01,BUY,41.75,3300,137816.33,252.15,
2024-08-20,SELL,42.05,3300,,138975.52,138723.37
2024-08-23,BUY,43.42,3100,134642.38,4333.14,
2024-09-20,SELL,42.51,3100,,136074.6,131741.47
2024-09-30,BUY,52.1,2600,135500.64,573.97,
2024-10-18,SELL,50.28,2600,,131262.75,130688.78
2024-11-22,BUY,48.07,2700,129827.94,1434.81,
2024-11-25,SELL,47.56,2700,,129808.29,128373.48
2024-11-28,BUY,49.5,2600,128738.61,1069.68,
2024-12-09,SELL,49.18,2600,,128899.32,127829.64
