date,action,price,shares,cost,cash_after,revenue
2018-03-06,BUY,61.65,1600,98669.59,1330.41,
2018-03-26,SELL,65.95,1600,,106818.75,105488.34
2018-04-03,BUY,73.2,1400,102510.74,4308.01,
2018-04-10,SELL,66.77,1400,,97757.96,93449.96
2018-05-22,BUY,62.99,1500,94513.35,3244.62,
2018-05-30,SELL,53.22,1500,,83050.67,79806.05
2018-06-28,BUY,47.6,1700,80944.28,2106.39,
2018-08-01,SELL,57.79,1700,,100319.92,98213.53
2018-08-27,BUY,55.4,1800,99749.92,570.01,
2018-09-10,SELL,45.28,1800,,82049.55,81479.55
2018-10-08,BUY,37.99,2100,79802.93,2246.62,
2018-10-09,SELL,35.23,2100,,76207.43,73960.81
2018-10-23,BUY,33.66,2200,74074.22,2133.21,
2018-12-14,SELL,33.22,2200,,75195.28,73062.07
2019-01-17,BUY,27.98,2600,72769.82,2425.46,
2019-03-18,SELL,49.17,2600,,130229.11,127803.65
2019-04-08,BUY,54.52,2300,125433.62,4795.49,
2019-04-11,SELL,50.28,2300,,120404.8,115609.31
2019-05-23,BUY,40.53,2900,117572.26,2832.53,
2019-06-05,SELL,35.74,2900,,106447.44,103614.91
2019-06-12,BUY,37.15,2800,104051.21,2396.23,
2019-07-31,SELL,47.28,2800,,134740.52,132344.28
2019-08-20,BUY,49.85,2700,134635.38,105.14,
2019-09-19,SELL,74.07,2700,,200034.14,199929.0
2019-09-23,BUY,89.37,2200,196672.98,3361.16,
2019-09-27,SELL,72.91,2200,,163715.04,160353.88
2019-10-31,BUY,75.92,2100,159479.83,4235.21,
2019-11-22,SELL,79.99,2100,,172163.82,167928.61
2019-12-05,BUY,93.56,1800,168458.52,3705.29,
2019-12-23,SELL,90.4,1800,,166376.48,162671.18
2020-01-03,BUY,109.84,1500,164809.43,1567.05,
2020-02-12,SELL,146.19,1500,,220786.26,219219.21
2020-02-14,BUY,156.27,1400,218843.63,1942.63,
2020-03-03,SELL,176.11,1400,,248422.66,246480.03
2020-04-08,BUY,134.45,1800,242082.6,6340.06,
2020-05-25,SELL,139.72,1800,,257760.61,251420.55
2020-06-08,BUY,157.23,1600,251643.47,6117.14,
2020-06-18,SELL,155.66,1600,,255098.43,248981.28
2020-06-23,BUY,167.07,1500,250680.18,4418.24,
2020-07-17,SELL,163.94,1500,,250254.47,245836.23
2020-09-04,BUY,143.34,1700,243751.1,6503.37,
2020-09-09,SELL,123.29,1700,,216033.49,209530.12
2020-09-21,BUY,125.67,1700,213703.09,2330.4,
2020-11-24,SELL,148.01,1700,,253871.91,251541.51
2020-12-08,BUY,150.08,1600,240200.04,13671.87,
2020-12-09,SELL,145.62,1600,,246593.98,232922.1
2021-01-06,BUY,143.09,1700,243325.98,3268.0,
2021-01-26,SELL,137.37,1700,,236726.94,233458.94
2021-02-22,BUY,131.87,1700,224246.25,12480.69,
2021-03-10,SELL,119.77,1700,,216028.61,203547.92
2021-03-26,BUY,119.67,1800,215470.62,557.98,
2021-04-21,SELL,119.27,1800,,215179.58,214621.59
2021-04-27,BUY,130.43,1600,208750.61,6428.97,
2021-05-11,SELL,116.19,1600,,192277.2,185848.23
2021-05-26,BUY,127.58,1500,191427.41,849.79,
2021-06-17,SELL,146.78,1500,,220953.74,220103.95
2021-06-18,BUY,155.98,1400,218437.51,2516.23,
2021-07-14,SELL,172.88,1400,,244475.62,241959.39
2021-07-27,BUY,203.6,1200,244393.3,82.32,
2021-08-06,SELL,193.98,1200,,232788.49,232706.17
2021-09-14,BUY,152.62,1500,228998.68,3789.81,
2021-11-17,SELL,159.9,1500,,243567.85,239778.05
2021-12-03,BUY,174.47,1300,226879.04,16688.81,
2021-12-20,SELL,161.46,1300,,226523.84,209835.03
2022-01-04,BUY,173.86,1300,226085.81,438.04,
2022-01-06,SELL,160.94,1300,,209597.27,209159.23
2022-02-17,BUY,147.29,1400,206267.86,3329.41,
2022-03-28,SELL,147.8,1400,,210187.33,206857.92
2022-04-21,BUY,130.7,1600,209182.74,1004.6,
2022-04-26,SELL,113.94,1600,,183253.91,182249.31
2022-05-11,BUY,127.33,1400,178315.48,4938.43,
2022-06-13,SELL,132.73,1400,,190704.68,185766.25
2022-06-29,BUY,135.68,1400,190008.99,695.69,
2022-07-06,SELL,130.32,1400,,183088.96,182393.27
2022-08-05,BUY,129.12,1400,180822.23,2266.73,
2022-08-22,SELL,118.7,1400,,168396.88,166130.15
2022-09-09,BUY,113.96,1400,159591.86,8805.01,
2022-09-16,SELL,105.25,1400,,156110.81,147305.8
2022-10-21,BUY,84.22,1800,151641.48,4469.33,
2022-12-06,SELL,101.17,1800,,186520.7,182051.37
2022-12-07,BUY,99.14,1800,178505.54,8015.16,
2022-12-08,SELL,97.52,1800,,183498.5,175483.34
2022-12-13,BUY,106.86,1700,181716.5,1782.0,
2022-12-20,SELL,100.29,1700,,172223.85,170441.85
2023-01-10,BUY,105.42,1600,168722.6,3501.25,
2023-02-07,SELL,112.53,1600,,183495.24,179993.99
2023-03-17,BUY,104.21,1700,177210.15,6285.09,
2023-04-20,SELL,135.32,1700,,236260.08,229974.99
2023-04-21,BUY,125.45,1800,225877.74,10382.33,
2023-04-24,SELL,119.78,1800,,225921.65,215539.32
2023-05-22,BUY,112.35,2000,224767.41,1154.24,
2023-06-07,SELL,102.28,2000,,205652.88,204498.63
2023-06-14,BUY,111.24,1800,200292.07,5360.81,
2023-06-29,SELL,105.02,1800,,194340.1,188979.29
2023-07-05,BUY,110.01,1700,187073.11,7266.99,
2023-07-25,SELL,112.56,1700,,198561.58,191294.59
2023-09-01,BUY,94.16,2100,197795.32,766.26,
2023-10-20,SELL,97.05,2100,,204510.12,203743.86
2023-10-31,BUY,106.66,1900,202714.8,1795.33,
2023-11-15,SELL,106.65,1900,,204369.54,202574.21
2023-12-14,BUY,94.77,2100,199076.71,5292.83,
2023-12-27,SELL,90.49,2100,,195264.82,189971.99
2023-12-28,BUY,92.16,2100,193594.06,1670.76,
2024-01-04,SELL,80.96,2100,,171635.76,169965.0
2024-01-26,BUY,68.39,2500,171026.29,609.46,
2024-01-29,SELL,66.34,2500,,166409.71,165800.24
2024-02-19,BUY,66.61,2400,159911.96,6497.75,
2024-03-28,SELL,72.41,2400,,180229.61,173731.86
2024-04-18,BUY,75.66,2300,174070.21,6159.41,
2024-05-22,SELL,82.19,2300,,195139.7,188980.29
2024-06-05,BUY,84.43,2300,194247.26,892.44,
2024-06-07,SELL,83.12,2300,,192011.09,191118.65
2024-06-12,BUY,86.26,2200,189828.93,2182.16,
2024-07-03,SELL,91.35,2200,,203091.87,200909.71
2024-07-12,BUY,97.01,2000,194078.21,9013.66,
2024-07-18,SELL,93.66,2000,,196277.46,187263.8
2024-08-20,BUY,78.89,2400,189392.8,6884.66,
2024-08-22,SELL,73.31,2400,,182775.88,175891.22
2024-09-06,BUY,67.54,2700,182412.71,363.17,
2024-10-31,SELL,89.83,2700,,242831.41,242468.24
2024-11-07,BUY,96.3,2500,240822.23,2009.18,
2024-11-15,SELL,89.25,2500,,225067.25,223058.06
2024-12-16,BUY,96.32,2300,221602.46,3464.79,
