date,action,price,shares,cost,cash_after,revenue
2018-02-07,BUY,28.9,3400,98289.48,1710.52,
2018-03-09,SELL,34.11,3400,,117649.73,115939.21
2018-04-16,BUY,35.85,3200,114754.42,2895.31,
2018-05-11,SELL,38.6,3200,,126378.26,123482.94
2018-07-05,BUY,38.17,3300,125998.79,379.47,
2018-11-05,SELL,37.02,3300,,122508.82,122129.35
2018-12-10,BUY,32.97,3700,122025.6,483.22,
2019-01-21,SELL,33.01,3700,,122583.58,122100.36
2019-05-21,BUY,41.18,2900,119457.83,3125.76,
2019-06-20,SELL,44.45,2900,,131992.08,128866.33
2019-08-06,BUY,43.91,3000,131769.52,222.56,
2019-08-15,SELL,46.87,3000,,140790.38,140567.82
2019-12-02,BUY,57.1,2400,137081.11,3709.27,
2020-01-02,SELL,59.84,2400,,147282.19,143572.92
2020-03-02,BUY,58.12,2500,145343.59,1938.6,
2020-05-22,SELL,65.54,2500,,165739.44,163800.85
2020-09-18,BUY,73.26,2200,161220.35,4519.09,
2020-10-13,SELL,77.2,2200,,174308.14,169789.05
2020-11-12,BUY,71.24,2400,171027.29,3280.84,
2020-12-04,SELL,75.21,2400,,183730.69,180449.85
2021-02-23,BUY,83.03,2200,182720.8,1009.89,
2021-05-18,SELL,70.56,2200,,156195.32,155185.43
2021-07-06,BUY,61.34,2500,153396.01,2799.32,
2021-09-27,SELL,50.03,2500,,127836.8,125037.48
2022-01-14,BUY,45.93,2700,124048.2,3788.59,
2022-06-08,SELL,31.37,2700,,88462.18,84673.59
2022-08-03,BUY,34.14,2500,85375.6,3086.58,
2022-10-17,SELL,38.99,2500,,100532.34,97445.76
2022-12-09,BUY,38.26,2600,99505.84,1026.49,
2023-01-17,SELL,41.62,2600,,109206.03,108179.54
2023-03-08,BUY,41.4,2600,107672.29,1533.74,
2023-04-10,SELL,45.71,2600,,120344.08,118810.35
2023-08-01,BUY,42.98,2700,116080.81,4263.27,
2023-09-19,SELL,44.23,2700,,123648.44,119385.17
2023-10-23,BUY,42.67,2800,119511.84,4136.6,
2023-10-31,SELL,47.54,2800,,137208.67,133072.07
2023-12-06,BUY,45.01,3000,135070.51,2138.16,
2024-03-13,SELL,44.28,3000,,134938.31,132800.15
2024-04-15,BUY,44.16,3000,132519.74,2418.56,
2024-08-13,SELL,42.47,3000,,129790.34,127371.78
2024-09-23,BUY,42.51,3000,127568.26,2222.08,
2024-09-27,SELL,48.48,3000,,147618.45,145396.37
2024-12-16,BUY,45.87,3200,146828.04,790.41,
