date,action,price,shares,cost,cash_after,revenue
2018-06-13,BUY,10.46,9500,99399.81,600.19,
2018-07-06,SELL,25.5,9500,,242777.51,242177.33
2018-07-13,BUY,32.07,7500,240597.16,2180.36,
2018-07-26,SELL,29.57,7500,,223888.82,221708.47
2018-08-30,BUY,25.01,8900,222655.78,1233.05,
2018-09-03,SELL,21.27,8900,,190479.26,189246.21
2018-09-17,BUY,21.52,8800,189432.81,1046.44,
2018-10-12,SELL,21.05,8800,,186230.87,185184.43
2018-10-17,BUY,25.01,7400,185129.52,1101.35,
2018-11-20,SELL,29.33,7400,,218078.24,216976.89
2018-12-05,BUY,31.33,6900,216241.85,1836.38,
2018-12-10,SELL,29.62,6900,,206153.07,204316.69
2018-12-14,BUY,30.2,6800,205421.61,731.46,
2018-12-17,SELL,30.66,6800,,209156.92,208425.45
2019-01-10,BUY,28.5,7300,208112.41,1044.5,
2019-01-14,SELL,28.39,7300,,208229.33,207184.83
2019-01-16,BUY,28.72,7200,206846.04,1383.29,
2019-01-21,SELL,27.92,7200,,202346.98,200963.69
2019-01-28,BUY,28.39,7100,201629.47,717.51,
2019-03-11,SELL,34.97,7100,,248930.03,248212.51
2019-04-19,BUY,32.35,7600,245933.76,2996.27,
2019-04-23,SELL,29.55,7600,,227508.9,224512.63
2019-05-29,BUY,25.33,8900,225504.63,2004.26,
2019-08-06,SELL,26.29,8900,,235915.07,233910.81
2019-08-21,BUY,28.31,8300,235043.49,871.58,
2019-08-27,SELL,26.93,8300,,224323.52,223451.94
2019-09-10,BUY,29.1,7700,224137.22,186.3,
2019-09-24,SELL,26.61,7700,,205021.83,204835.53
2019-10-25,BUY,25.66,7900,202774.81,2247.02,
2019-11-01,SELL,24.72,7900,,197476.43,195229.41
2019-11-05,BUY,27.03,7300,197378.2,98.24,
2019-12-19,SELL,38.01,7300,,277487.99,277389.76
2019-12-26,BUY,44.6,6200,276602.96,885.04,
2020-01-20,SELL,54.65,6200,,339613.39,338728.35
2020-01-21,BUY,53.79,6300,338978.66,634.73,
2020-02-18,SELL,73.21,6300,,461719.36,461084.63
