date,action,price,shares,cost,cash_after,revenue
2018-09-03,BUY,21.27,4700,99998.99,1.01,
2018-09-27,SELL,26.43,4700,,124184.74,124183.73
2018-12-27,BUY,28.22,4300,121382.4,2802.34,
2019-02-12,SELL,31.12,4300,,136578.19,133775.86
2019-03-28,BUY,32.35,4200,135910.76,667.43,
2019-07-15,SELL,27.05,4200,,114243.35,113575.92
2020-03-02,BUY,63.98,1700,108798.63,5444.72,
2020-04-17,SELL,62.29,1700,,111305.95,105861.23
2021-02-01,BUY,180.95,600,108602.57,2703.38,
2021-04-15,SELL,173.55,600,,106802.14,104098.76
2021-07-28,BUY,278.15,300,83470.03,23332.11,
2021-10-11,SELL,275.9,300,,106077.28,82745.17
2021-12-21,BUY,322.05,300,96643.98,9433.29,
2022-06-07,SELL,241.46,300,,81849.56,72416.27
2022-09-02,BUY,245.49,300,73669.09,8180.47,
2022-12-08,SELL,220.42,300,,74286.63,66106.16
2023-02-20,BUY,220.42,300,66145.84,8140.79,
2023-04-28,SELL,219.07,300,,73842.08,65701.28
2023-05-30,BUY,213.21,300,63982.19,9859.89,
2023-08-01,SELL,223.72,300,,76955.75,67095.87
2023-09-11,BUY,209.75,300,62943.88,14011.88,
2024-02-19,SELL,148.31,300,,58491.53,44479.65
2024-06-11,BUY,182.01,300,54619.38,3872.15,
2024-09-25,SELL,196.34,300,,62756.48,58884.33
