策略,总收益率,年化收益率,夏普比率,最大回撤,胜率(%),交易次数
macd,214.748,14.478,0.443,-49.11,41.089,61.4
ma,149.839,10.308,0.332,-44.891,39.207,49.0
rsi,67.766,7.918,0.327,-49.279,73.923,5.5
bollinger,60.164,6.734,0.272,-47.596,65.057,17.0
