date,signal_alias,stock_code,industry,score,future_return,benchmark_return,excess_return,weight
2025-04-22,stage4_1_tree,688133,工业制造,0.0168014736610512,-0.03932151117964522,-0.01825062469028939,-0.021070886489355827,0.25
2025-04-22,stage4_1_tree,688045,TMT科技,0.0075395258418361,-0.033695652173912904,-0.01825062469028939,-0.015445027483623513,0.25
2025-04-22,stage4_1_tree,600025,周期公用,0.0009350567549744,0.01967213114754096,-0.01825062469028939,0.03792275583783035,0.25
2025-04-22,stage4_1_tree,600051,消费服务,0.0009350567549744,0.08422664624808562,-0.01825062469028939,0.10247727093837501,0.25
2025-04-29,stage4_1_tree,603335,工业制造,0.0168014736610512,0.03872437357630987,0.01874148615081282,0.01998288742549705,0.25
2025-04-29,stage4_1_tree,600051,消费服务,0.0075395258418361,-0.031073446327683718,0.01874148615081282,-0.04981493247849654,0.25
2025-04-29,stage4_1_tree,600025,周期公用,0.0009350567549744,0.02893890675241151,0.01874148615081282,0.01019742060159869,0.25
2025-04-29,stage4_1_tree,600127,消费服务,0.0009350567549744,0.05413533834586448,0.01874148615081282,0.03539385219505166,0.25
2025-05-09,stage4_1_tree,605589,工业制造,0.0075395258418361,-0.02654867256637161,-0.009766478390468963,-0.016782194175902647,0.25
2025-05-09,stage4_1_tree,688528,TMT科技,0.0075395258418361,0.007423117709438154,-0.009766478390468963,0.01718959609990712,0.25
2025-05-09,stage4_1_tree,600025,周期公用,0.0009350567549744,-0.008333333333333526,-0.009766478390468963,0.0014331450571354373,0.25
2025-05-09,stage4_1_tree,600051,消费服务,0.0009350567549744,0.032069970845481244,-0.009766478390468963,0.04183644923595021,0.25
2025-05-16,stage4_1_tree,600025,周期公用,0.00113720973696,0.028361344537815247,-0.006513280220251029,0.034874624758066276,0.25
2025-05-16,stage4_1_tree,600127,消费服务,0.00113720973696,-0.020408163265306256,-0.006513280220251029,-0.013894883045055227,0.25
2025-05-16,stage4_1_tree,600153,消费服务,0.00113720973696,0.004149377593360981,-0.006513280220251029,0.01066265781361201,0.25
2025-05-16,stage4_1_tree,600548,周期公用,0.00113720973696,0.015474239941744017,-0.006513280220251029,0.021987520161995046,0.25
2025-05-23,stage4_1_tree,600025,周期公用,0.0074885612554843,0.008171603677221695,0.006516091535707635,0.0016555121415140596,0.25
2025-05-23,stage4_1_tree,600548,周期公用,0.0074885612554843,-0.008067407673001181,0.006516091535707635,-0.014583499208708817,0.25
2025-05-23,stage4_1_tree,600051,消费服务,0.00113720973696,0.015873015873015817,0.006516091535707635,0.00935692433730818,0.25
2025-05-23,stage4_1_tree,600127,消费服务,0.00113720973696,0.0014880952380953438,0.006516091535707635,-0.0050279962976122914,0.25
2025-05-30,stage4_1_tree,600025,周期公用,0.0074885612554843,-0.037487335359675855,0.01583337316876456,-0.05332070852844041,0.25
2025-05-30,stage4_1_tree,600051,消费服务,0.00113720973696,0.02130681818181812,0.01583337316876456,0.005473445013053562,0.25
2025-05-30,stage4_1_tree,600127,消费服务,0.00113720973696,0.010401188707280795,0.01583337316876456,-0.005432184461483764,0.25
2025-05-30,stage4_1_tree,600153,消费服务,0.00113720973696,0.007201646090535085,0.01583337316876456,-0.008631727078229474,0.25
2025-06-09,stage4_1_tree,688031,TMT科技,0.0137144591285699,-0.073777229757501,-0.017591440915007802,-0.0561857888424932,0.25
2025-06-09,stage4_1_tree,605589,工业制造,0.0074885612554843,-0.03157147924796033,-0.017591440915007802,-0.01398003833295253,0.25
2025-06-09,stage4_1_tree,688045,TMT科技,0.0074885612554843,-0.042329630741519186,-0.017591440915007802,-0.024738189826511384,0.25
2025-06-09,stage4_1_tree,600025,周期公用,0.00113720973696,0.0031578947368422483,-0.017591440915007802,0.02074933565185005,0.25
2025-06-16,stage4_1_tree,600051,消费服务,0.0077999884595665,-0.009708737864077666,-0.005732027337430127,-0.003976710526647539,0.25
2025-06-16,stage4_1_tree,600127,消费服务,0.0077999884595665,0.007246376811594235,-0.005732027337430127,0.012978404149024361,0.25
2025-06-16,stage4_1_tree,603341,TMT科技,0.0077999884595665,0.01661474558670828,-0.005732027337430127,0.022346772924138406,0.25
2025-06-16,stage4_1_tree,600025,周期公用,0.0010596411207788,0.024134312696747262,-0.005732027337430127,0.029866340034177388,0.25
2025-06-23,stage4_1_tree,600025,周期公用,0.0077999884595665,-0.021516393442623016,0.05182957490025233,-0.07334596834287535,0.25
2025-06-23,stage4_1_tree,600127,消费服务,0.0077999884595665,-0.01151079136690647,0.05182957490025233,-0.0633403662671588,0.25
2025-06-23,stage4_1_tree,603341,TMT科技,0.0077999884595665,0.03753830439223682,0.05182957490025233,-0.014291270508015506,0.25
2025-06-23,stage4_1_tree,600153,消费服务,0.0010596411207788,0.04845360824742251,0.05182957490025233,-0.003375966652829819,0.25
2025-06-30,stage4_1_tree,600025,周期公用,0.0010596411207788,0.012565445026177846,0.005576341424148195,0.006989103602029651,0.25
2025-06-30,stage4_1_tree,600051,消费服务,0.0010596411207788,0.045454545454545636,0.005576341424148195,0.03987820403039744,0.25
2025-06-30,stage4_1_tree,600127,消费服务,0.0010596411207788,0.02183406113537112,0.005576341424148195,0.016257719711222925,0.25
2025-06-30,stage4_1_tree,600153,消费服务,0.0010596411207788,0.0206489675516226,0.005576341424148195,0.015072626127474405,0.25
2025-07-07,stage4_1_tree,688133,工业制造,0.0077999884595665,0.02045075125208684,0.020375739892339807,7.501135974703407e-05,0.25
2025-07-07,stage4_1_tree,600025,周期公用,0.0010596411207788,-0.020682523267838593,0.020375739892339807,-0.041058263160178396,0.25
2025-07-07,stage4_1_tree,600127,消费服务,0.0010596411207788,-0.00712250712250706,0.020375739892339807,-0.027498247014846867,0.25
2025-07-07,stage4_1_tree,600153,消费服务,0.0010596411207788,0.02215799614643532,0.020375739892339807,0.0017822562540955149,0.25
2025-07-14,stage4_1_tree,600967,工业制造,0.0089226687805447,0.1450719822812847,0.0204919608873638,0.12458002139392091,0.25
2025-07-14,stage4_1_tree,600051,消费服务,0.0067569031570287,-0.003821656050955302,0.0204919608873638,-0.024313616938319103,0.25
2025-07-14,stage4_1_tree,605589,工业制造,0.0067569031570287,0.06713900134952766,0.0204919608873638,0.04664704046216386,0.25
2025-07-14,stage4_1_tree,688133,工业制造,0.0067569031570287,0.05725971370143168,0.0204919608873638,0.03676775281406788,0.25
2025-07-21,stage4_1_tree,605589,工业制造,0.021674392087744,0.016756244072083426,0.01678634951838706,-3.010544630363543e-05,0.25
2025-07-21,stage4_1_tree,688031,TMT科技,0.0067569031570287,0.060599877576004824,0.01678634951838706,0.04381352805761776,0.25
2025-07-21,stage4_1_tree,688133,工业制造,0.0067569031570287,0.08162475822050297,0.01678634951838706,0.06483840870211591,0.25
2025-07-21,stage4_1_tree,688528,TMT科技,0.0067569031570287,0.01426024955436711,0.01678634951838706,-0.002526099964019951,0.25
2025-07-28,stage4_1_tree,688045,TMT科技,0.0067569031570287,0.03755741691434755,0.006415482108389077,0.031141934805958477,0.25
2025-07-28,stage4_1_tree,600025,周期公用,0.0011073128742544,-0.0021574973031283085,0.006415482108389077,-0.008572979411517386,0.25
2025-07-28,stage4_1_tree,600051,消费服务,0.0011073128742544,-0.011642949547218673,0.006415482108389077,-0.01805843165560775,0.25
2025-07-28,stage4_1_tree,600127,消费服务,0.0011073128742544,-0.007153075822603827,0.006415482108389077,-0.013568557930992904,0.25
