date,group_1,group_2,group_3,group_4,group_5
2025-04-22,1.0276126151200171,0.997339817341282,1.0150073850649801,0.9545512668774789,0.9225502945836123
2025-04-29,1.023529674304064,0.9990062846459656,1.0591003858740238,1.0116574261001128,0.9215525035373394
2025-05-09,1.0106182424163062,1.0009863882242491,1.0467682875980153,1.0046408305301018,0.9030389414006303
2025-05-16,0.9922741341851102,1.0085036320408889,1.0290706470421727,1.0009472153618395,0.8994811552897012
2025-05-23,0.9941013766589866,1.0273604320657543,1.0442909318191211,0.9704971669013692,0.9262323159230623
2025-05-30,0.9804072037010646,1.0546348096717582,1.0737363485205844,0.9738796580027441,0.9612468593473039
2025-06-09,0.9628657449577422,1.0166949666829368,1.0339175214605603,0.9656252491809101,0.9675873675337049
2025-06-16,0.9506846958165236,1.0071825606322091,1.0309903955101087,0.95932499842893,0.9709040240620929
2025-06-23,0.956841511158113,1.0736589458476775,1.0743015437068284,0.9949671574095109,1.0728990935373641
2025-06-30,0.9761633370881116,1.0844954390143815,1.0872190257398635,1.0133244885182457,1.0393527447002335
2025-07-07,1.0167324229500272,1.1188644404814345,1.1063568079888186,1.0151927332836903,1.048175016771979
2025-07-14,1.0375587299562987,1.1252671569637605,1.1422122750937937,1.026262966190439,1.0858251766876605
2025-07-21,1.0511409501884064,1.1600328303918421,1.1538225911952669,1.0570121504792294,1.0838308016638276
2025-07-28,1.070025081408971,1.1667469158088466,1.1429408877143858,1.060699986875992,1.094999309819798
2025-08-04,1.0977322981103836,1.1747892809816227,1.1473356375122654,1.0791838923304813,1.1617111710000996
2025-08-11,1.1073560119439623,1.2292927271126048,1.1272481499104792,1.0716887792608105,1.2331143689799087
2025-08-18,1.1105541851544551,1.246093771679993,1.1587406997307093,1.083672449419543,1.2851856598259292
2025-08-25,1.0741498360868487,1.2578369608453102,1.1362881409939845,1.1105871956742475,1.2547413024703393
2025-09-01,1.0626362323769158,1.2777055498919032,1.1465991109430724,1.0658374418249619,1.2206864190408087
2025-09-08,1.0418265468628563,1.2861967792649414,1.152864135288318,1.1075322336698081,1.2453944426877284
2025-09-15,1.0389608272829565,1.266147171697409,1.129461157760279,1.0968909117827534,1.2789499631946795
2025-09-22,1.0555251122452738,1.2534070886937374,1.149532019573715,1.1302174061892754,1.2649669740056415
2025-09-29,1.0219194371021145,1.2829808526318875,1.1117683652880574,1.1156008287659052,1.2051384366059537
2025-10-14,1.0213360597662737,1.265779919727581,1.1450366493957835,1.1371766954528144,1.1689838489759163
2025-10-21,1.0497621984489711,1.2800084531452116,1.1394784188383338,1.179384588727202,1.2547152585913515
2025-10-28,1.0525076035636554,1.277285453346547,1.1424487519044275,1.1372005750370233,1.203638977775557
2025-11-04,1.048405307735041,1.2705711744001396,1.176448086899831,1.186001858502936,1.223805308699859
2025-11-11,1.0304643234829007,1.242971572185279,1.170561409043619,1.2542890538598856,1.2106900720045621
2025-11-18,0.9876041300066533,1.2180496494616726,1.163426566627427,1.1983773528520807,1.1475488642002236
2025-11-25,1.0183941948854212,1.2122063794676892,1.1359040918935597,1.2441313328359458,1.1473912502810577
2025-12-02,1.0138025635876786,1.176043639403703,1.1161854349226243,1.2712812938498494,1.1844093742266022
2025-12-09,1.1634282715561775,1.1247342221220247,1.0838034527227005,1.2682985933437092,1.153232526905753
2025-12-16,1.195438046640752,1.137756852734394,1.1050934601257372,1.2900362002808636,1.230452353850465
2025-12-23,1.2012083922502652,1.1749810762067243,1.108922894374557,1.3015085172061627,1.1965330994022794
2025-12-30,1.3529645947989197,1.2451403440004756,1.1287384963188114,1.3674192976039357,1.249950257443888
2026-01-08,1.312399789744126,1.3182729479023934,1.1462024017987251,1.3796806288903765,1.3283451803690856
2026-01-15,1.3600837267564514,1.445150171969291,1.1476804120158437,1.3715535365410423,1.3687050683501938
2026-01-22,1.2968921328794767,1.4019186850751,1.1600850766348039,1.3718331582622543,1.4011878218065825
2026-01-29,1.2450020161022224,1.4367358859826491,1.154606453161677,1.3455491319319755,1.4033726535641153
2026-02-05,1.1836342505679018,1.4391991061843452,1.2183169333940531,1.3388744251801477,1.4598595559152638
2026-02-12,1.256055411818186,1.4543795369515826,1.2457763271621571,1.3602255508893788,1.5468095253830396
2026-02-27,1.2223735621986882,1.4802873437932573,1.191445293956145,1.333062111183722,1.525551976333682
2026-03-06,1.215273584671305,1.4252619162788613,1.174864690902152,1.336737122204717,1.4968828261926446
2026-03-13,1.0445752024577035,1.3720346297071788,1.1023864604237334,1.2480925322991603,1.4231528315625779
2026-03-20,1.0570107784470404,1.360642422345854,1.0902807485713324,1.2364494454102886,1.393491476127817
