date,signal_alias,selected_count,gross_return,benchmark_return,cost_drag,net_return,buy_turnover,sell_turnover,gross_nav,net_nav,benchmark_nav
2025-04-22,stage5_2_selector,4,0.007720403510517115,-0.018250624690289388,0.0008,0.006920403510517115,1.0,0.0,1.0077204035105172,1.006920403510517,0.9817493753097106
2025-04-29,stage5_2_selector,4,0.022681293086725535,0.018741486150812822,0.0013,0.021381293086725536,0.5,0.5,1.0305768053320126,1.0284496637729792,1.0001488176306468
2025-05-09,stage5_2_selector,4,-0.011587777154552004,-0.009766478390468963,0.0019500000000000001,-0.013537777154552004,0.75,0.75,1.018634710971175,1.0145267414101466,0.990380885816004
2025-05-16,stage5_2_selector,4,0.006894199701903497,-0.006513280220251028,0.0019500000000000001,0.004944199701903497,0.75,0.75,1.025657382091901,1.0195427642225998,0.983930257581904
2025-05-23,stage5_2_selector,4,0.0043663267788329185,0.006516091535707635,0.00065,0.0037163267788329186,0.25,0.25,1.0301357373852367,1.0233317182994457,0.9903416372050601
2025-05-30,stage5_2_selector,4,-0.007299978478770092,0.015833373168764556,0.0019500000000000001,-0.009249978478770092,0.75,0.75,1.0226157686721125,1.013865921928533,1.006022085911493
2025-06-09,stage5_2_selector,4,-0.01407151122656447,-0.017591440915007802,0.0,-0.01407151122656447,0.0,0.0,1.008226019402781,0.9995992962258846,0.9883247078279881
2025-06-16,stage5_2_selector,4,0.009571674307743028,-0.005732027337430127,0.0019500000000000001,0.007621674307743027,0.75,0.75,1.0178764304890966,1.0072179164999675,0.9826596035844604
2025-06-23,stage5_2_selector,4,0.01324118195753246,0.05182957490025233,0.00065,0.012591181957532461,0.25,0.25,1.0313543175154862,1.0198999805575053,1.0335904331098935
2025-06-30,stage5_2_selector,4,0.01169927724487796,0.005576341424148196,0.0019500000000000001,0.009749277244877959,0.75,0.75,1.0434204176138018,1.029843268230006,1.0393540862576474
2025-07-07,stage5_2_selector,4,0.0037009292520441273,0.020375739892339807,0.0019500000000000001,0.0017509292520441271,0.75,0.75,1.0472820427595286,1.0316464509333707,1.0605316947752739
2025-07-14,stage5_2_selector,4,0.007189076697647928,0.020491960887363804,0.0013,0.005889076697647928,0.5,0.5,1.0548110336889962,1.0377218960077734,1.0822640687844183
2025-07-21,stage5_2_selector,4,0.02768537638370036,0.016786349518387065,0.0013,0.02638537638370036,0.5,0.5,1.0840138741703562,1.0651025788155457,1.1004313317142254
2025-07-28,stage5_2_selector,4,0.004150973560349186,0.006415482108389077,0.0019500000000000001,0.0022009735603491856,0.75,0.75,1.088513587101089,1.0674468414305784,1.1074911292343488
2025-08-04,stage5_2_selector,4,0.016841332734501863,0.024004434657746192,0.00065,0.01619133273450186,0.25,0.25,1.1068456066074845,1.0847302284165738,1.1340758276800882
2025-08-11,stage5_2_selector,4,0.08572120232124503,0.020326068075995327,0.0013,0.08442120232124503,0.5,0.5,1.201725742789866,1.1763044584936997,1.1571271301568544
2025-08-18,stage5_2_selector,4,0.001539119977531228,0.01914063754269096,0.0026,-0.0010608800224687718,1.0,1.0,1.2035753428881073,1.1750565405933429,1.179275281146001
2025-08-25,stage5_2_selector,4,-0.016010301542736582,-0.007734934411061163,0.0013,-0.01731030154273658,0.5,0.5,1.184305738719066,1.1547159575459072,1.1701536641937509
2025-09-01,stage5_2_selector,4,-0.028092379778043297,-0.011695160723041708,0.0019500000000000001,-0.030042379778043297,0.75,0.75,1.151035772133654,1.120025542213546,1.156468529020349
2025-09-08,stage5_2_selector,4,-0.01810880957472122,0.010635996462297041,0.0026,-0.020708809574721217,1.0,1.0,1.1301918845223933,1.0968311465410219,1.1687687242037672
2025-09-15,stage5_2_selector,4,-0.0209454290385577,-0.0034164840942350412,0.0013,-0.0222454290385577,0.5,0.5,1.1065195306051758,1.0724316671033636,1.1647756444476858
2025-09-22,stage5_2_selector,4,0.0016230713346509773,0.008138583819130733,0.0019500000000000001,-0.0003269286653490228,0.75,0.75,1.1083154907365327,1.0720810584497595,1.1742552686605054
2025-09-29,stage5_2_selector,4,-0.013318491072976307,-0.019602258490139895,0.0026,-0.015918491072976305,1.0,1.0,1.0935544007671167,1.0550151456913202,1.1512372133508135
2025-10-14,stage5_2_selector,4,0.008747273512763665,-0.0004621650374142645,0.0013,0.007447273512763665,0.5,0.5,1.103120020211713,1.0628721320413916,1.1507051517610325
2025-10-21,stage5_2_selector,4,0.026515176433994647,0.03071313191316018,0.0019500000000000001,0.024565176433994647,0.75,0.75,1.1323694421754984,1.0889817734917646,1.186046910880222
2025-10-28,stage5_2_selector,4,-0.009917604129148494,-0.015585745410165813,0.0013,-0.011217604129148493,0.5,0.5,1.1211390503200571,1.076766007052876,1.1675614856827294
2025-11-04,stage5_2_selector,4,0.00948989253193247,0.015333413148671812,0.0019500000000000001,0.00753989253193247,0.75,0.75,1.1317785394209472,1.0848847070280927,1.1854641883191797
2025-11-11,stage5_2_selector,4,0.007900079730017884,0.0008996226462769476,0.0013,0.006600079730017884,0.5,0.5,1.140719680119096,1.0920450325923552,1.1865306587493418
2025-11-18,stage5_2_selector,4,-0.003544415293677744,-0.03430405656540344,0.0013,-0.004844415293677744,0.5,0.5,1.1366764958390827,1.08675471293508,1.145827843915019
2025-11-25,stage5_2_selector,4,-0.0025991220716814756,0.009827282518977938,0.0013,-0.0038991220716814755,0.5,0.5,1.1337221348703859,1.082517323647371,1.1570882178552833
2025-12-02,stage5_2_selector,4,0.009275620643498295,0.0014157565538840575,0.0019500000000000001,0.007325620643498294,0.75,0.75,1.1442381113085807,1.090447434900427,1.158726373083134
2025-12-09,stage5_2_selector,4,0.1612571102438957,0.011269976428046662,0.0019500000000000001,0.15930711024389568,0.75,0.75,1.3287546425691354,1.2641634646272826,1.171785191994337
2025-12-16,stage5_2_selector,4,0.012872539509014763,0.029036466740395925,0.0019500000000000001,0.010922539509014763,0.75,0.75,1.3458590892033935,1.277971340015527,1.205809693748569
2025-12-23,stage5_2_selector,4,-0.008281998794509693,0.004519925801945642,0.0026,-0.010881998794509693,1.0,1.0,1.334712685849031,1.26406445743406,1.2112598640955794
2025-12-30,stage5_2_selector,4,0.12633628230349306,0.06254314695824117,0.0026,0.12373628230349305,1.0,1.0,1.5033353245225076,1.4204750939889328,1.2870158677803285
2026-01-08,stage5_2_selector,4,-0.03782875683371867,0.025157219244607332,0.0019500000000000001,-0.03977875683371867,0.75,0.75,1.4464660180916062,1.3639703606367934,1.3193936081373667
2026-01-15,stage5_2_selector,4,0.036206455326281806,0.03345424532414896,0.0013,0.0349064553262818,0.5,0.5,1.4988374253566246,1.4115817310967342,1.3635329255831081
2026-01-22,stage5_2_selector,4,-0.010566104306185486,-0.01342748981093093,0.0013,-0.011866104306185486,0.5,0.5,1.4830005527822918,1.3948317550388345,1.3452241011179722
2026-01-29,stage5_2_selector,4,0.008923068529793327,-0.008972762814563226,0.0019500000000000001,0.006973068529793326,0.75,0.75,1.4962334683444898,1.404558012454252,1.3331537243262066
2026-02-05,stage5_2_selector,4,0.014198294854431553,0.0055828883027385255,0.00065,0.013548294854431554,0.25,0.25,1.5174774322991136,1.4235873785471367,1.3405965726594995
