date,group_1,group_2,group_3,group_4,group_5
2025-04-22,1.0077204035105172,0.9790001648963982,0.965991360603665,0.9885341235255595,0.9635613203359019
2025-04-29,1.0305768053320126,1.0040263607313726,1.0042780850125852,1.0110702155789666,0.9522436012070908
2025-05-09,1.018634710971175,0.9830098455911683,1.0412177679811427,1.009286604847599,0.9144457935127457
2025-05-16,1.025657382091901,0.9784840343489334,1.012300889402832,0.995154230620291,0.9159118536002688
2025-05-23,1.0301357373852367,1.0004813154041754,0.9940833332112606,1.0093174373331235,0.9189976473890233
2025-05-30,1.0226157686721125,1.0180108893510502,0.9955544062086303,1.0488372733912967,0.9417175456817373
2025-06-09,1.008226019402781,1.0063017188265615,0.9667447903948521,1.021754583303045,0.9318667146279194
2025-06-16,1.0178764304890966,0.9960162643616792,0.9467412495932842,1.0069526446321626,0.9350609293586635
2025-06-23,1.0313543175154862,1.01235953823171,0.9579248137519539,1.0794897348694854,1.0618971656707568
2025-06-30,1.0434204176138018,1.0291372538071826,0.962387380108569,1.1069713476064937,1.0292582310787446
2025-07-07,1.0472820427595286,1.0448439833452825,0.9667684930556495,1.156205937642431,1.0600646540065488
2025-07-14,1.0548110336889962,1.0670603739469255,0.9676173878622426,1.1904856125035768,1.1009597084034144
2025-07-21,1.0840138741703562,1.0840854400165736,0.962515093964769,1.2133824679601646,1.1238775651335997
2025-07-28,1.088513587101089,1.0727820321831967,0.956328642451575,1.2478177224642406,1.138701761506661
2025-08-04,1.1068456066074845,1.0791934703047186,0.9711740262127697,1.2710729012081914,1.2080761557717117
2025-08-11,1.201725742789866,1.0750180319170903,0.9991057110435829,1.2538451737661318,1.2161458515734807
2025-08-18,1.2035753428881073,1.1065656387237406,1.0201435470928844,1.2633080408142663,1.2607701488143745
2025-08-25,1.184305738719066,1.1085559881379983,1.0463709145692175,1.2239477105216219,1.2473368105760396
2025-09-01,1.151035772133654,1.139283402453609,1.0616358411759597,1.1867090058711036,1.2028139896943346
2025-09-08,1.1301918845223933,1.1390434593028451,1.059003028699069,1.2469756133059615,1.226768890605225
2025-09-15,1.1065195306051758,1.1477795695372979,1.0260544833677043,1.2453603339152453,1.2533620435929604
2025-09-22,1.1083154907365327,1.1610137951422788,1.004510354218279,1.3114755509589413,1.2385266065527794
2025-09-29,1.0935544007671167,1.1119961911188323,1.0429248664940762,1.2639733876771777,1.2013290641939862
2025-10-14,1.103120020211713,1.1137839427108014,1.0817771801621514,1.242948291223414,1.1726701073749646
2025-10-21,1.1323694421754984,1.1423898666480177,1.0812952423656164,1.3271056075436027,1.2035288780111417
2025-10-28,1.1211390503200571,1.132498834619816,1.0560396688493936,1.2756659699916093,1.2045180128633164
2025-11-04,1.1317785394209472,1.1682912193875055,1.0739297395376761,1.2897207485179634,1.2141733002774675
2025-11-11,1.140719680119096,1.1434100368027236,1.0534414475756217,1.3697457828672495,1.1776634253749863
2025-11-18,1.1366764958390827,1.1017315164423978,1.0296624283724398,1.307959858914197,1.1059299774286744
2025-11-25,1.1337221348703859,1.1018693906816561,1.0449165001679326,1.305927158728455,1.1497211497623565
2025-12-02,1.1442381113085807,1.0814556260075545,1.0437624094676057,1.2857391004273433,1.1868144429300458
2025-12-09,1.3287546425691354,1.047333957946219,1.0175207608221346,1.2913951123244982,1.1135688892999211
2025-12-16,1.3458590892033935,1.0530956635916087,1.0469353877942715,1.29059920603884,1.2232382589344626
2025-12-23,1.334712685849031,1.0518528048264635,1.0498117487164944,1.363437754692126,1.1895178717730137
2025-12-30,1.5033353245225076,1.0605576063170197,1.1056884062913808,1.4305219282342525,1.2739748872205425
2026-01-08,1.4464660180916062,1.081877001747997,1.11572190506054,1.4550599877327781,1.4087730911247507
2026-01-15,1.4988374253566246,1.1085387768192279,1.1072525719786617,1.5262508892949194,1.4847832278288187
2026-01-22,1.4830005527822918,1.0948159527548542,1.0815800367737254,1.4839255921675354,1.5200208028484536
2026-01-29,1.4962334683444898,1.1086583616195578,1.0708436608258662,1.4508188994154474,1.477263030177248
2026-02-05,1.5174774322991136,1.1057596008253063,1.1099293466977966,1.4374211377120398,1.4763382599807409
2026-02-12,1.550829089467526,1.153992392113756,1.1232415155700117,1.4625730725082544,1.5827139381307427
2026-02-27,1.55076863264099,1.0960927672999048,1.124618152989391,1.42369064341985,1.5834330317093335
2026-03-06,1.5762150880955497,1.0790981345246282,1.1261565772702382,1.3968224591418381,1.5002845350928846
2026-03-13,1.4081217486999218,1.0008905134401223,1.0571568845513144,1.3055855458101553,1.4263869869479007
2026-03-20,1.4033920702359277,1.0109262069541571,1.047096336955398,1.2879687316726445,1.3966582252372375
