date,signal_alias,selected_count,gross_return,benchmark_return,cost_drag,net_return,buy_turnover,sell_turnover,gross_nav,net_nav,benchmark_nav
2025-04-22,stage4_1_tree,4,0.007720403510517115,-0.018250624690289388,0.0008,0.006920403510517115,1.0,0.0,1.0077204035105172,1.006920403510517,0.9817493753097106
2025-04-29,stage4_1_tree,4,0.022681293086725535,0.018741486150812822,0.0013,0.021381293086725536,0.5,0.5,1.0305768053320126,1.0284496637729792,1.0001488176306468
2025-05-09,stage4_1_tree,4,0.001152770663803565,-0.009766478390468963,0.0013,-0.00014722933619643486,0.5,0.5,1.0317648240399957,1.0282982458116705,0.990380885816004
2025-05-16,stage4_1_tree,4,0.006894199701903497,-0.006513280220251028,0.0019500000000000001,0.004944199701903497,0.75,0.75,1.0388780167823266,1.0333823576920804,0.983930257581904
2025-05-23,stage4_1_tree,4,0.0043663267788329185,0.006516091535707635,0.00065,0.0037163267788329186,0.25,0.25,1.0434140976869442,1.0372227442207451,0.9903416372050601
2025-05-30,stage4_1_tree,4,0.00035557940498953666,0.015833373168764556,0.00065,-0.0002944205950104633,0.25,0.25,1.0437851142509575,1.0369173644832332,1.006022085911493
2025-06-09,stage4_1_tree,4,-0.03613011125253457,-0.017591440915007802,0.0019500000000000001,-0.03808011125253457,0.75,0.75,1.006073041949331,0.9974314358840268,0.9883247078279881
2025-06-16,stage4_1_tree,4,0.009571674307743028,-0.005732027337430127,0.0019500000000000001,0.007621674307743027,0.75,0.75,1.01570284543667,1.0050335334326395,0.9826596035844604
2025-06-23,stage4_1_tree,4,0.01324118195753246,0.05182957490025233,0.00065,0.012591181957532461,0.25,0.25,1.0291519516278804,1.0176880935255115,1.0335904331098935
2025-06-30,stage4_1_tree,4,0.0251257547919293,0.005576341424148196,0.00065,0.0244757547919293,0.25,0.25,1.055010171208118,1.0425967777573077,1.0393540862576474
2025-07-07,stage4_1_tree,4,0.0037009292520441273,0.020375739892339807,0.00065,0.0030509292520441273,0.25,0.25,1.058914689211946,1.0457776667646546,1.0605316947752739
2025-07-14,stage4_1_tree,4,0.06641226032032219,0.020491960887363804,0.0019500000000000001,0.06446226032032219,0.75,0.75,1.1292396072089028,1.113190858956817,1.0822640687844183
2025-07-21,stage4_1_tree,4,0.04331028235573958,0.016786349518387065,0.0013,0.04201028235573958,0.5,0.5,1.1781472934444048,1.159956321257421,1.1004313317142254
2025-07-28,stage4_1_tree,4,0.004150973560349186,0.006415482108389077,0.0026,0.001550973560349186,1.0,1.0,1.1830377517096895,1.1617553828428513,1.1074911292343488
2025-08-04,stage4_1_tree,4,0.016841332734501863,0.024004434657746192,0.00065,0.01619133273450186,0.25,0.25,1.2029616841237094,1.1805657508025584,1.1340758276800882
