date,signal_alias,stock_code,industry,score,future_return,benchmark_return,excess_return,weight
2025-04-22,stage4_1_blend,688045,TMT科技,1.053492151575911,-0.033695652173912904,-0.01825062469028939,-0.015445027483623513,0.25
2025-04-22,stage4_1_blend,688528,TMT科技,0.7195921650140564,0.03395784543325542,-0.01825062469028939,0.052208470123544806,0.25
2025-04-22,stage4_1_blend,688031,TMT科技,0.5793673767447092,0.023554603854389677,-0.01825062469028939,0.041805228544679066,0.25
2025-04-22,stage4_1_blend,603335,工业制造,0.5716576007826666,0.08663366336633671,-0.01825062469028939,0.1048842880566261,0.25
2025-04-29,stage4_1_blend,688031,TMT科技,0.9604115951501012,0.0451882845188285,0.01874148615081282,0.026446798368015684,0.25
2025-04-29,stage4_1_blend,601222,周期公用,0.8749114341506783,0.011025358324145529,0.01874148615081282,-0.00771612782666729,0.25
2025-04-29,stage4_1_blend,603341,TMT科技,0.8409215478412827,0.013663967611336147,0.01874148615081282,-0.005077518539476671,0.25
2025-04-29,stage4_1_blend,688045,TMT科技,0.5667175024047634,-0.08577052868391466,0.01874148615081282,-0.10451201483472748,0.25
2025-05-09,stage4_1_blend,688528,TMT科技,0.9155907063872628,0.007423117709438154,-0.009766478390468963,0.01718959609990712,0.25
2025-05-09,stage4_1_blend,688031,TMT科技,0.851022140456354,-0.026020816653322787,-0.009766478390468963,-0.016254338262853822,0.25
2025-05-09,stage4_1_blend,605589,工业制造,0.8282589771170394,-0.02654867256637161,-0.009766478390468963,-0.016782194175902647,0.25
2025-05-09,stage4_1_blend,688133,工业制造,0.6518339065579837,-0.005312084993359889,-0.009766478390468963,0.004454393397109074,0.25
2025-05-16,stage4_1_blend,688031,TMT科技,1.2185040335778312,-0.05733662145499363,-0.006513280220251029,-0.0508233412347426,0.25
2025-05-16,stage4_1_blend,603341,TMT科技,1.0430400275483596,-0.025454545454545396,-0.006513280220251029,-0.018941265234294367,0.25
2025-05-16,stage4_1_blend,688147,TMT科技,0.7951492349077169,0.021170525165608245,-0.006513280220251029,0.027683805385859274,0.25
2025-05-16,stage4_1_blend,605589,工业制造,0.6909153194248451,-0.010984848484848597,-0.006513280220251029,-0.004471568264597568,0.25
2025-05-23,stage4_1_blend,601222,周期公用,0.9062337465273854,0.009204712812960203,0.006516091535707635,0.0026886212772525677,0.25
