date,signal_alias,selected_count,gross_return,benchmark_return,cost_drag,net_return,buy_turnover,sell_turnover,gross_nav,net_nav,benchmark_nav
2025-04-22,stage4_1_blend,4,0.027612615120017225,-0.018250624690289388,0.0008,0.026812615120017227,1.0,0.0,1.0276126151200171,1.0268126151200172,0.9817493753097106
2025-04-29,stage4_1_blend,4,-0.00397322955740112,0.018741486150812822,0.0013,-0.00527322955740112,0.5,0.5,1.023529674304064,1.021397996488054,1.0001488176306468
2025-05-09,stage4_1_blend,4,-0.012614614125904033,-0.009766478390468963,0.0019500000000000001,-0.014564614125904034,0.75,0.75,1.0106182424163062,1.006521728800234,0.990380885816004
2025-05-16,stage4_1_blend,4,-0.018151372557194845,-0.006513280220251028,0.0013,-0.019451372557194844,0.5,0.5,0.9922741341851102,0.9869434996664287,0.983930257581904
2025-05-23,stage4_1_blend,4,0.0018414694195136028,0.006516091535707635,0.0019500000000000001,-0.00010853058048639736,0.75,0.75,0.9941013766589866,0.9868363861155026,0.9903416372050601
2025-05-30,stage4_1_blend,4,-0.013775429025101843,0.015833373168764556,0.0026,-0.01637542902510184,1.0,1.0,0.9804072037010646,0.9706765169152802,1.006022085911493
2025-06-09,stage4_1_blend,4,-0.017892013315592675,-0.017591440915007802,0.0013,-0.019192013315592674,0.5,0.5,0.9628657449577422,0.952047280277509,0.9883247078279881
2025-06-16,stage4_1_blend,4,-0.012650828222945248,-0.005732027337430127,0.0026,-0.015250828222945248,1.0,1.0,0.9506846958165236,0.9375277707458745,0.9826596035844604
2025-06-23,stage4_1_blend,4,0.006476190653623065,0.05182957490025233,0.0019500000000000001,0.004526190653623065,0.75,0.75,0.956841511158113,0.9417712001793366,1.0335904331098935
2025-06-30,stage4_1_blend,4,0.020193339967673946,0.005576341424148196,0.0013,0.018893339967673946,0.5,0.5,0.9761633370881116,0.959564403636089,1.0393540862576474
2025-07-07,stage4_1_blend,4,0.04155973116438988,0.020375739892339807,0.0019500000000000001,0.03960973116438988,0.75,0.75,1.0167324229500272,0.9975724916990326,1.0605316947752739
