model,split,rows,days,rank_ic_mean,rank_ic_std,icir,direction_hit_rate,top_quantile_ret,bottom_quantile_ret,long_short_ret
ridge,val,4265,225,0.09065247362861047,0.3096417514695005,0.2927656661234836,0.521219226260258,0.0027941833546811655,-0.006671339234001042,0.009465522588682208
ridge,test,4237,223,0.008208742979801769,0.26894964030410656,0.030521487110077503,0.47840453150814255,-0.0013328235158955517,0.0027198064819022524,-0.004052629997797805
ridge,all,8502,448,0.049614634488690065,0.29270033511273613,0.1695065858724779,0.49988238061632556,0.0007398919883003443,-0.001996728754879536,0.00273662074317988
tree,val,4265,225,0.02810622504664119,0.28308600491238395,0.09928510968014882,0.49636576787807735,-0.0018007463893613955,0.0019676372753467523,-0.003768383664708149
tree,test,4237,223,-0.01328551737807665,0.26634563459801286,-0.0498807401072222,0.45244276610809536,-0.009532078293578314,0.0035193553249335363,-0.013051433618511849
tree,all,8502,448,0.0075027461164803,0.2753537654544501,0.027247661219005292,0.4744765937426488,-0.00536470182813456,0.002682941449424563,-0.008047643277559123
