date,stock_code,split,label_excess_ret_5d,pred_ridge,fit_start_date,fit_end_date,pred_tree
2024-05-17,600025,val,0.058967114208478916,-0.00716975016103597,2020-04-03,2024-05-16,0.005493105894247046
2024-05-17,600051,val,-0.018087361282069864,0.0030568597447867183,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-17,600127,val,0.014376506286633256,0.0033200397605486105,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-17,600153,val,-0.06089195085535423,-0.024942146909397576,2020-04-03,2024-05-16,-0.013975050829800441
2024-05-17,600548,val,0.06501264980138458,-0.003974578736143043,2020-04-03,2024-05-16,0.005493105894247046
2024-05-17,600865,val,-0.051529436930982525,-0.006839078354825863,2020-04-03,2024-05-16,0.0036938688750604376
2024-05-17,600967,val,4.489387125189426e-06,0.0011280893971951258,2020-04-03,2024-05-16,0.005493105894247046
2024-05-17,601222,val,0.025008401924479645,-0.0016458401245167766,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-17,603237,val,0.005854304472892619,0.002309510605699504,2020-04-03,2024-05-16,-0.0002747814704929924
2024-05-17,603335,val,-0.014443117514911202,0.014569490298092333,2020-04-03,2024-05-16,0.0036938688750604376
2024-05-17,603658,val,0.006401848864274667,-0.0016507126325971163,2020-04-03,2024-05-16,0.005493105894247046
2024-05-17,605090,val,0.013240860828441142,-0.0010699364617964247,2020-04-03,2024-05-16,0.005493105894247046
2024-05-17,605589,val,-0.05017296500946464,0.00011874115162397747,2020-04-03,2024-05-16,-0.0002747814704929924
2024-05-17,688031,val,0.004637161720433075,0.01169372014403982,2020-04-03,2024-05-16,0.0036938688750604376
2024-05-17,688045,val,-0.019618645670098495,0.0014777486765004272,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-17,688133,val,-0.034336740395810555,0.0030584376365892065,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-17,688147,val,-0.007716782417994533,-0.002339370760650612,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-17,688528,val,0.030348752721555378,0.00739385917715324,2020-04-03,2024-05-16,0.0036938688750604376
2024-05-20,600025,val,0.05070816644252155,-0.006636909004043819,2020-04-03,2024-05-16,0.005493105894247046
2024-05-20,600051,val,-0.007310228650654192,-0.0027597531579698037,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-20,600127,val,-0.024517829554120706,0.0008400586573318086,2020-04-03,2024-05-16,-0.0018351800296075283
2024-05-20,600153,val,-0.021034857417897866,-0.015387431839009275,2020-04-03,2024-05-16,-0.0009190439265113923
