model,split,rows,days,rank_ic_mean,rank_ic_std,icir,direction_hit_rate,top_quantile_ret,bottom_quantile_ret,long_short_ret
ridge,val,4265,225,0.09065247362861047,0.3096417514695005,0.2927656661234836,0.521219226260258,0.0027941833546811655,-0.006671339234001042,0.009465522588682208
ridge,test,4237,223,0.008208742979801769,0.26894964030410656,0.030521487110077503,0.47840453150814255,-0.0013328235158955517,0.0027198064819022524,-0.004052629997797805
ridge,all,8502,448,0.049614634488690065,0.29270033511273613,0.1695065858724779,0.49988238061632556,0.0007398919883003443,-0.001996728754879536,0.00273662074317988
tree,val,4265,225,0.03479553448321279,0.2736599001697794,0.12714882400244076,0.494021101992966,-0.010442876009557258,0.00029804354019606394,-0.010740919549753323
tree,test,4237,223,0.030203689306223754,0.2707492384052828,0.11155595297007648,0.4649516167099363,0.005469595618631607,-0.0021245447011358945,0.007594140319767505
tree,all,8502,448,0.03250986154913119,0.2719200384770901,0.11955669663480951,0.47953422724064926,-0.002698549623925388,-0.0008809885094594414,-0.0018175611144659464
blend,val,4265,225,0.0748363872242312,0.29593634781939177,0.2528800121230914,0.5113716295427901,0.0008537379392421343,-0.006677932953123089,0.007531670892365224
blend,test,4237,223,0.0133146742369695,0.2682190681653609,0.049641042779109246,0.46778380929903235,0.0010719488625054406,-0.002261868162970907,0.003333817025476347
blend,all,8502,448,0.04421285598280406,0.28383934097845626,0.15576718798173883,0.4896494942366502,0.0009623563229200746,-0.004479757845525016,0.005442114168445091
