date,stock_code,split,label_excess_ret_5d,pred_ridge,ridge_fit_start_date,ridge_fit_end_date,pred_tree,fit_start_date_tree,fit_end_date_tree,fit_start_date_ridge_meta,fit_end_date_ridge_meta,tree_fit_start_date,tree_fit_end_date,industry,pred_ridge_z,pred_tree_z,w_ridge,w_tree,pred_blend
2024-05-17,600025,val,0.058967114208478916,-0.00716975016103597,2020-04-03,2024-05-16,0.0016200281354201355,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.8468781747260458,0.36365007467635413,0.6,0.4,-0.36266687496508576
2024-05-17,600051,val,-0.018087361282069864,0.0030568597447867183,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.37532295218017264,0.18270925689478906,0.6,0.4,0.29827747406601923
2024-05-17,600127,val,0.014376506286633256,0.0033200397605486105,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.40677608423522826,0.18270925689478906,0.6,0.4,0.3171493532990526
2024-05-17,600153,val,-0.06089195085535423,-0.024942146909397576,2020-04-03,2024-05-16,-0.022777740268770344,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-2.970890289562313,-3.2891129803143566,0.6,0.4,-3.098179365863131
2024-05-17,600548,val,0.06501264980138458,-0.003974578736143043,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.46501730860077917,0.9057943249417948,0.6,0.4,0.08330734481625046
2024-05-17,600865,val,-0.051529436930982525,-0.006839078354825863,2020-04-03,2024-05-16,0.002021413152433587,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-0.8073589735530354,0.42374427414099575,0.6,0.4,-0.3149176744754229
2024-05-17,600967,val,4.489387125189426e-06,0.0011280893971951258,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,0.14481202880687083,-1.2502168084125693,0.6,0.4,-0.4131995060809053
2024-05-17,601222,val,0.025008401924479645,-0.0016458401245167766,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.18670543578952412,0.18270925689478906,0.6,0.4,-0.038939558715798836
2024-05-17,603237,val,0.005854304472892619,0.002309510605699504,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.2860058697455801,0.9057943249417948,0.6,0.4,0.533921251824066
2024-05-17,603335,val,-0.014443117514911202,0.014569490298092333,2020-04-03,2024-05-16,0.002021413152433587,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,1.7512187930779146,0.42374427414099575,0.6,0.4,1.220228985503147
2024-05-17,603658,val,0.006401848864274667,-0.0016507126325971163,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,医药健康,-0.18728775827190022,0.9057943249417948,0.6,0.4,0.24994507501357782
2024-05-17,605090,val,0.013240860828441142,-0.0010699364617964247,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.11787812037921665,0.9057943249417948,0.6,0.4,0.29159085774918797
2024-05-17,605589,val,-0.05017296500946464,0.00011874115162397747,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,0.02418294697639185,0.18270925689478906,0.6,0.4,0.08759347094375074
2024-05-17,688031,val,0.004637161720433075,0.01169372014403982,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,1.4075301655293992,-0.4637472251224447,0.6,0.4,0.6590192092686616
2024-05-17,688045,val,-0.019618645670098495,0.0014777486765004272,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.18660045812369014,-0.4637472251224447,0.6,0.4,-0.07353861517476383
2024-05-17,688133,val,-0.034336740395810555,0.0030584376365892065,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,0.37551152895751105,0.18270925689478906,0.6,0.4,0.29839062013242224
2024-05-17,688147,val,-0.007716782417994533,-0.002339370760650612,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,-0.26959056906757606,-0.4637472251224447,0.6,0.4,-0.34725323148952353
2024-05-17,688528,val,0.030348752721555378,0.00739385917715324,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.8936458023176322,0.18270925689478906,0.6,0.4,0.609271184148495
2024-05-20,600025,val,0.05070816644252155,-0.006636909004043819,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.9590746459065236,-1.6646269336019737,0.1,0.9,-1.5940717048324287
2024-05-20,600051,val,-0.007310228650654192,-0.0027597531579698037,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-0.3916535806953166,0.2833025635125599,0.1,0.9,0.21580694909177225
2024-05-20,600127,val,-0.024517829554120706,0.0008400586573318086,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.1351782351747272,0.2833025635125599,0.1,0.9,0.26849013067877664
2024-05-20,600153,val,-0.021034857417897866,-0.015387431839009275,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-2.2397120990537456,-0.5954948011317597,0.1,0.9,-0.7599165309239583
2024-05-20,600548,val,0.07247900125716725,-0.00399336157868936,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.5721919526173522,1.2662693522908135,0.1,0.9,1.082423221799997
2024-05-20,600865,val,-0.006140478613744636,-0.009679633048062426,2020-04-03,2024-05-16,0.002021413152433587,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-1.4043767660028923,0.6109672150943466,0.1,0.9,0.40943281698462264
2024-05-20,600967,val,-0.019992086239985017,0.004464809488483524,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,0.6656598715577415,-1.6646269336019737,0.1,0.9,-1.431598253086002
2024-05-20,601222,val,0.03407642102206502,0.0025035542630614934,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,0.37863051980060564,0.2833025635125599,0.1,0.9,0.2928353591413645
2024-05-20,603237,val,0.01588329940431691,-2.1801714477741053e-06,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.0119167330939499,-1.6646269336019737,0.1,0.9,-1.4969725669323812
2024-05-20,603335,val,-0.029349762327230043,0.015311143973973046,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,2.253018985230064,1.2662693522908135,0.1,0.9,1.3649443155847385
2024-05-20,603658,val,-0.013181648195306615,-0.0030906012852094434,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,医药健康,-0.440073144993085,1.2662693522908135,0.1,0.9,1.0956351025624236
2024-05-20,605090,val,-0.0032501440528248313,0.0006265675485186508,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,0.10393384955155227,-0.5954948011317597,0.1,0.9,-0.5255519360634285
2024-05-20,605589,val,-0.004639288957378383,-0.002845912455468409,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,-0.40426297848726045,0.2833025635125599,0.1,0.9,0.2145460093125779
2024-05-20,688031,val,-0.03074419854509288,0.0012579549391777923,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.19633728134331502,-0.5954948011317597,0.1,0.9,-0.5163115928842522
2024-05-20,688045,val,0.0383311937324922,0.0002959030143533277,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.055541154067401385,-0.5954948011317597,0.1,0.9,-0.5303912056118436
2024-05-20,688133,val,-0.04538061739480367,0.007228023540455124,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,1.070055754267474,0.2833025635125599,0.1,0.9,0.3619778825880513
2024-05-20,688147,val,-0.00022704870711439534,0.003087480938608419,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.4640880844170965,1.2662693522908135,0.1,0.9,1.1860512255034417
2024-05-20,688528,val,-0.012110372292039782,0.0072753686272027255,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,1.0769846992522478,0.2833025635125599,0.1,0.9,0.36267077708652873
2024-05-21,600025,val,0.061884033292525176,-0.0017003129882658514,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.36067805497300826,-1.6396059996318164,0.1,0.9,-1.5117132051659357
2024-05-21,600051,val,-0.0005125846368795907,0.0037995546322415006,2020-04-03,2024-05-16,0.002021413152433587,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.8663112642239948,0.530943933299351,0.1,0.9,0.5644806663918154
2024-05-21,600127,val,-0.034600322817538054,0.0028481616689786105,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.6540608820638752,0.21840468374898067,0.1,0.9,0.26197030358047013
2024-05-21,600153,val,-0.028394058369360767,-0.010772581957500672,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-2.384649883790711,-0.6198263171443901,0.1,0.9,-0.7963086738090221
2024-05-21,600548,val,0.05608420163594613,-0.0005822127407844654,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.11123622180309795,1.1559965204473317,0.1,0.9,1.0292732462222889
2024-05-21,600865,val,-0.020163863432453525,-0.003987420021094739,2020-04-03,2024-05-16,0.002021413152433587,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-0.8709186816160406,0.530943933299351,0.1,0.9,0.3907576718078118
2024-05-21,600967,val,-0.023931058536683595,0.0010453715990605072,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,0.251868627054676,-1.6396059996318164,0.1,0.9,-1.450458536963167
2024-05-21,601222,val,0.05104726949450894,0.004883966657044555,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,1.1082374456980502,0.21840468374898067,0.1,0.9,0.3073879599438876
2024-05-21,603237,val,0.005162640921765823,0.0013431876693197327,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.3183097057327815,-1.6396059996318164,0.1,0.9,-1.4438144290953565
2024-05-21,603335,val,-0.02371441550000092,0.006353329374156794,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,1.436043946567373,1.1559965204473317,0.1,0.9,1.184001263059336
2024-05-21,603658,val,-0.017611040333318565,0.00013858636893293455,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,医药健康,0.049569977533818664,1.1559965204473317,0.1,0.9,1.0453538661559805
2024-05-21,605090,val,0.05503305612414516,0.00018008409059915866,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,0.05882788422699286,-0.6198263171443901,0.1,0.9,-0.5519608970072518
2024-05-21,605589,val,0.036780938349414594,-0.006954515739914047,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,-1.5328609331807443,1.1559965204473317,0.1,0.9,0.8871107750845242
2024-05-21,688031,val,-0.055947091071604726,0.0005638190614642956,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.14443698305298647,-0.6198263171443901,0.1,0.9,-0.5433999871246524
2024-05-21,688045,val,0.022967787370108347,0.0017947067791251974,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,0.4190410620801435,-0.6198263171443901,0.1,0.9,-0.5159395792219368
2024-05-21,688133,val,-0.024883199597382003,-0.004914452892717222,2020-04-03,2024-05-16,-0.0012233228123878074,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,工业制造,-1.0777344652876457,-0.0989612526092928,0.1,0.9,-0.1968385738771281
2024-05-21,688147,val,0.016659076867653607,-0.0016972223742143316,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,-0.35998855648092903,1.1559965204473317,0.1,0.9,1.0043980127545058
2024-05-21,688528,val,-0.015208337090363903,0.006153033264833548,2020-04-03,2024-05-16,0.0004114766633864038,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,TMT科技,1.3913590188974838,0.21840468374898067,0.1,0.9,0.335700117263831
2024-05-22,600025,val,0.07669982192052877,-0.0022786184984404504,2020-04-03,2024-05-16,-0.009159414674317887,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,周期公用,-0.4359821457053943,-1.0590534810756715,0.1,0.9,-0.9967463475386439
2024-05-22,600051,val,-0.01540461086747619,0.0065149689261171815,2020-04-03,2024-05-16,0.002021413152433587,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,1.3106357177853836,0.5113368400983794,0.1,0.9,0.5912667278670799
2024-05-22,600127,val,-0.024953653203403762,0.0041312404400297075,2020-04-03,2024-05-16,0.00524115265417799,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,0.8371699347666111,0.9635616510505248,0.1,0.9,0.9509224794221334
2024-05-22,600153,val,-0.031734577197442715,-0.0005756464129393954,2020-04-03,2024-05-16,-0.003906376779117906,2021-03-26,2024-05-16,2020-04-03,2024-05-16,2021-03-26,2024-05-16,消费服务,-0.0977309494694146,-0.32124408134186383,0.1,0.9,-0.2988927681546189
